! (Pin, Pout) in dBm
! @ 3.570 GHz
-25     ,  -10.105921296534
-24.75  ,  -9.8502078771695
-24.5   ,  -9.6041554108051
-24.25  ,  -9.353519751421
-24     ,  -9.1069678393481
-23.75  ,  -8.852716514225
-23.5   ,  -8.613176181058
-23.25  ,  -8.3578923714014
-23     ,  -8.1035903169926
-22.75  ,  -7.8584532912077
-22.5   ,  -7.613676808474
-22.25  ,  -7.3513469461246
-22     ,  -7.1059217415844
-21.75  ,  -6.849666139618
-21.5   ,  -6.6072359927532
-21.25  ,  -6.3582188090887
-21     ,  -6.1043272476366
-20.75  ,  -5.8562431010008
-20.5   ,  -5.6059625066038
-20.25  ,  -5.3570442627604
-20     ,  -5.1042955543198
-19.75  ,  -4.8558215379473
-19.5   ,  -4.6062964646102
-19.25  ,  -4.3601918300957
-19     ,  -4.1045612431717
-18.75  ,  -3.8531078576919
-18.5   ,  -3.6080017557801
-18.25  ,  -3.3556258725845
-18     ,  -3.1091111266519
-17.75  ,  -2.855586133501
-17.5   ,  -2.6060182116235
-17.25  ,  -2.3542888525366
-17     ,  -2.1048675657001
-16.75  ,  -1.8617646422679
-16.5   ,  -1.6087708748572
-16.25  ,  -1.3595747564117
-16     ,  -1.1113263553386
-15.75  ,  -0.85946938222324
-15.5   ,  -0.6135805718416
-15.25  ,  -0.36279422697967
-15     ,  -0.11090256375806
-14.75  ,  0.14024326633967
-14.5   ,  0.38470252885207
-14.25  ,  0.63661877007755
-14     ,  0.88777959219316
-13.75  ,  1.1367137764472
-13.5   ,  1.3861052260237
-13.25  ,  1.633472263338
-13     ,  1.8824312107345
-12.75  ,  2.1331684021522
-12.5   ,  2.3788707688988
-12.25  ,  2.6342418041958
-12     ,  2.880530800526
-11.75  ,  3.1288320555717
-11.5   ,  3.379043160784
-11.25  ,  3.6263808772382
-11     ,  3.8769195382355
-10.75  ,  4.1251315622336
-10.5   ,  4.3755227536834
-10.25  ,  4.6208785033339
-10     ,  4.8731853732998
-9.75   ,  5.118212398961
-9.5    ,  5.3699670131945
-9.25   ,  5.6162004401842
-9      ,  5.865847933639
-8.75   ,  6.1126470077594
-8.5    ,  6.3606042009891
-8.25   ,  6.6094850187
-8      ,  6.8564062034073
-7.75   ,  7.1045237647712
-7.5    ,  7.3531824854122
-7.25   ,  7.6000801329411
-7      ,  7.8468296269844
-6.75   ,  8.0943958895498
-6.5    ,  8.3427527545964
-6.25   ,  8.5889587564069
-6      ,  8.8353199057111
-5.75   ,  9.0822278620562
-5.5    ,  9.3273254870147
-5.25   ,  9.5740972193582
-5      ,  9.8200801272651
-4.75   ,  10.065119830664
-4.5    ,  10.309861239401
-4.25   ,  10.55299025034
-4      ,  10.799466959332
-3.75   ,  11.044006512587
-3.5    ,  11.288358907393
-3.25   ,  11.529269488124
-3      ,  11.773158284771
-2.75   ,  12.015828456153
-2.5    ,  12.255450208572
-2.25   ,  12.49554444574
-2      ,  12.735304297907
-1.75   ,  12.974331476982
-1.5    ,  13.211305582419
-1.25   ,  13.449172600914
-1      ,  13.681684658978
-0.75   ,  13.913120682529
-0.5    ,  14.145585496543
-0.25   ,  14.373203075499
0       ,  14.596092323256
0.25    ,  14.813810721877
0.5     ,  15.028814140164
0.75    ,  15.236817670835
1       ,  15.44049410751
1.25    ,  15.638145774797
1.5     ,  15.823679275487
1.75    ,  15.999968379709
2       ,  16.171981037812
2.25    ,  16.332440616741
2.5     ,  16.479959152601
2.75    ,  16.622492001614
3       ,  16.757050912012
3.25    ,  16.877343867977
3.5     ,  16.992876882181
3.75    ,  17.107658397299
4       ,  17.208511137057
4.25    ,  17.309936623531
4.5     ,  17.389015229574
4.75    ,  17.481508112067
5       ,  17.565145131524
5.25    ,  17.691659928681
5.5     ,  17.768099601561
5.75    ,  17.84904671188
6       ,  17.939879140937
6.25    ,  17.984609284018
6.5     ,  18.028408042505
6.75    ,  18.072164943583
7       ,  18.123643999365
7.25    ,  18.14597787674
7.5     ,  18.172213249198
7.75    ,  18.191930862028
8       ,  18.221728444349
8.25    ,  18.24072570804
8.5     ,  18.265343738694
8.75    ,  18.278133727661
9       ,  18.311588930485
9.25    ,  18.347501277645
9.5     ,  18.384672752404
9.75    ,  18.423782861532
10      ,  18.472452168726
