! (Pin, Pout) in dBm
! @ 3.740 GHz
-25     ,  -10.383315209778
-24.75  ,  -10.142221139502
-24.5   ,  -9.887530765763
-24.25  ,  -9.6392041653232
-24     ,  -9.3889245906924
-23.75  ,  -9.1283009535574
-23.5   ,  -8.8836628175179
-23.25  ,  -8.6366710986024
-23     ,  -8.3866296851129
-22.75  ,  -8.1372729721739
-22.5   ,  -7.8919530669363
-22.25  ,  -7.6325560098191
-22     ,  -7.3851256225848
-21.75  ,  -7.1325379337259
-21.5   ,  -6.8865420498888
-21.25  ,  -6.634349003268
-21     ,  -6.382139214563
-20.75  ,  -6.1364811390788
-20.5   ,  -5.8853836578416
-20.25  ,  -5.639176095735
-20     ,  -5.3894937907854
-19.75  ,  -5.137624068542
-19.5   ,  -4.8915220410967
-19.25  ,  -4.6402708639539
-19     ,  -4.3845431776668
-18.75  ,  -4.1388265948794
-18.5   ,  -3.8916308308718
-18.25  ,  -3.6358932309439
-18     ,  -3.3871245436485
-17.75  ,  -3.1411449407283
-17.5   ,  -2.8870508881943
-17.25  ,  -2.6396551138481
-17     ,  -2.3903873778422
-16.75  ,  -2.1418295973425
-16.5   ,  -1.8897220188307
-16.25  ,  -1.6385373372814
-16     ,  -1.393237413565
-15.75  ,  -1.1401932705289
-15.5   ,  -0.89431440520314
-15.25  ,  -0.64649219684289
-15     ,  -0.39688217870045
-14.75  ,  -0.14446753173923
-14.5   ,  0.10401733826296
-14.25  ,  0.35360915618794
-14     ,  0.60514418269693
-13.75  ,  0.85034874450427
-13.5   ,  1.1002027764671
-13.25  ,  1.3503948518921
-13     ,  1.5973163714741
-12.75  ,  1.8494842678723
-12.5   ,  2.0972820435072
-12.25  ,  2.3495973566203
-12     ,  2.5984372981212
-11.75  ,  2.8439642476064
-11.5   ,  3.0944474222818
-11.25  ,  3.3431313245565
-11     ,  3.593337023426
-10.75  ,  3.8421462448743
-10.5   ,  4.0926209061198
-10.25  ,  4.3366145020089
-10     ,  4.5901295158698
-9.75   ,  4.8342183451445
-9.5    ,  5.0852685735994
-9.25   ,  5.3321703061308
-9      ,  5.5818232607129
-8.75   ,  5.8273962677162
-8.5    ,  6.0757935501069
-8.25   ,  6.324131824035
-8      ,  6.5708903294063
-7.75   ,  6.8183195167808
-7.5    ,  7.0664929388496
-7.25   ,  7.3148351693885
-7      ,  7.5615250197354
-6.75   ,  7.8079464870018
-6.5    ,  8.0556219049058
-6.25   ,  8.3011072046906
-6      ,  8.5490817345471
-5.75   ,  8.7950389167615
-5.5    ,  9.0393555196345
-5.25   ,  9.2850342307646
-5      ,  9.5309074887596
-4.75   ,  9.7748180309036
-4.5    ,  10.01862590588
-4.25   ,  10.262817014779
-4      ,  10.507727006501
-3.75   ,  10.752089610129
-3.5    ,  10.996426705152
-3.25   ,  11.236202045575
-3      ,  11.480710507249
-2.75   ,  11.722547825329
-2.5    ,  11.959370822723
-2.25   ,  12.200742391032
-2      ,  12.4393230351
-1.75   ,  12.676819815445
-1.5    ,  12.912727201348
-1.25   ,  13.147390737307
-1      ,  13.380864320019
-0.75   ,  13.611776953996
-0.5    ,  13.839790030395
-0.25   ,  14.066599426244
0       ,  14.286849587978
0.25    ,  14.501020763732
0.5     ,  14.712526228458
0.75    ,  14.917091503828
1       ,  15.114489242792
1.25    ,  15.306737648382
1.5     ,  15.489152840443
1.75    ,  15.661918133131
2       ,  15.828572609816
2.25    ,  15.986345719777
2.5     ,  16.128933107816
2.75    ,  16.271855771231
3       ,  16.39968774677
3.25    ,  16.51739798341
3.5     ,  16.633361940117
3.75    ,  16.745962554734
4       ,  16.849865266489
4.25    ,  16.949910951135
4.5     ,  17.036302203138
4.75    ,  17.130960105976
5       ,  17.215999511267
5.25    ,  17.352562414349
5.5     ,  17.433128721751
5.75    ,  17.516350528463
6       ,  17.61385804221
6.25    ,  17.667927191397
6.5     ,  17.716299281435
6.75    ,  17.761759448885
7       ,  17.815039361912
7.25    ,  17.870499971354
7.5     ,  17.914912031877
7.75    ,  17.964709430041
8       ,  18.018606816377
8.25    ,  18.021560951776
8.5     ,  18.028575468882
8.75    ,  18.023573371922
9       ,  18.037106652266
9.25    ,  18.075710989655
9.5     ,  18.120933871975
9.75    ,  18.16004840404
10      ,  18.204546302442
