! (Pin, Pout) in dBm
! @ 8.160 GHz
-25     ,  -18.165214412272
-24.75  ,  -17.905845107205
-24.5   ,  -17.660766808046
-24.25  ,  -17.419293125185
-24     ,  -17.163460081435
-23.75  ,  -16.920777856479
-23.5   ,  -16.669729529091
-23.25  ,  -16.41391995279
-23     ,  -16.168815788903
-22.75  ,  -15.923694206447
-22.5   ,  -15.664802733602
-22.25  ,  -15.416881851849
-22     ,  -15.170349108618
-21.75  ,  -14.920252529574
-21.5   ,  -14.666218058202
-21.25  ,  -14.421401319773
-21     ,  -14.169964068447
-20.75  ,  -13.920450855289
-20.5   ,  -13.67131852441
-20.25  ,  -13.41824685308
-20     ,  -13.167552065056
-19.75  ,  -12.87533484365
-19.5   ,  -12.629290479181
-19.25  ,  -12.380393163828
-19     ,  -12.130516060378
-18.75  ,  -11.874482064606
-18.5   ,  -11.624859294727
-18.25  ,  -11.377898843058
-18     ,  -11.126733631745
-17.75  ,  -10.8768673079
-17.5   ,  -10.626314564211
-17.25  ,  -10.379725619749
-17     ,  -10.128652904117
-16.75  ,  -9.8787401994291
-16.5   ,  -9.6288867185761
-16.25  ,  -9.3784287927588
-16     ,  -9.1270778050244
-15.75  ,  -8.877862909603
-15.5   ,  -8.6314278043591
-15.25  ,  -8.3770627698874
-15     ,  -8.1285609180342
-14.75  ,  -7.8811679130813
-14.5   ,  -7.6296852614541
-14.25  ,  -7.3780406394146
-14     ,  -7.1302874904094
-13.75  ,  -6.8808400582189
-13.5   ,  -6.6295290165859
-13.25  ,  -6.3803323103231
-13     ,  -6.130830381107
-12.75  ,  -5.8812035789258
-12.5   ,  -5.6306197093926
-12.25  ,  -5.3799655998561
-12     ,  -5.1308972284267
-11.75  ,  -4.8819627845071
-11.5   ,  -4.6333634896026
-11.25  ,  -4.383001030789
-11     ,  -4.133077428882
-10.75  ,  -3.8821844351694
-10.5   ,  -3.6351612809844
-10.25  ,  -3.3857439049751
-10     ,  -3.136392904883
-9.75   ,  -2.8886808211872
-9.5    ,  -2.6386037755277
-9.25   ,  -2.3883626149279
-9      ,  -2.1391329156044
-8.75   ,  -1.8910222283668
-8.5    ,  -1.6432814142004
-8.25   ,  -1.3943224437477
-8      ,  -1.1465055997843
-7.75   ,  -0.89747515761815
-7.5    ,  -0.64984208185468
-7.25   ,  -0.4009371542674
-7      ,  -0.15394475378889
-6.75   ,  0.093849260183105
-6.5    ,  0.34055391378178
-6.25   ,  0.58822869607626
-6      ,  0.83553599220503
-5.75   ,  1.0805796153354
-5.5    ,  1.3269487519317
-5.25   ,  1.5724536287051
-5      ,  1.8179117433624
-4.75   ,  2.0627767423787
-4.5    ,  2.3064286823515
-4.25   ,  2.5498806219555
-4      ,  2.7933194421904
-3.75   ,  3.0360936203714
-3.5    ,  3.2775813602669
-3.25   ,  3.5188460386472
-3      ,  3.758091884562
-2.75   ,  3.9985324674158
-2.5    ,  4.2375970828653
-2.25   ,  4.472820647504
-2      ,  4.7092743100262
-1.75   ,  4.9438960602534
-1.5    ,  5.1759052288309
-1.25   ,  5.4053544652029
-1      ,  5.6347355397257
-0.75   ,  5.8621943915424
-0.5    ,  6.0863379593082
-0.25   ,  6.3079280878487
0       ,  6.5261635023706
0.25    ,  6.7365889618554
0.5     ,  6.9454306624645
0.75    ,  7.1523488109562
1       ,  7.3539565411684
1.25    ,  7.5488166741831
1.5     ,  7.7434772188231
1.75    ,  7.9292097680514
2       ,  8.1116661543631
2.25    ,  8.2874032914079
2.5     ,  8.4559007293503
2.75    ,  8.6180817164085
3       ,  8.7758988409184
3.25    ,  8.9256081770947
3.5     ,  9.0737181981883
3.75    ,  9.2230911038839
4       ,  9.3588760187658
4.25    ,  9.4970351460153
4.5     ,  9.6297032689203
4.75    ,  9.7684469386277
5       ,  9.8951846635534
5.25    ,  10.077099629375
5.5     ,  10.198878637627
5.75    ,  10.32703820652
6       ,  10.462854151896
6.25    ,  10.573567263012
6.5     ,  10.679406504755
6.75    ,  10.789782816174
7       ,  10.909586445699
7.25    ,  11.024626072478
7.5     ,  11.13450899587
7.75    ,  11.253758876618
8       ,  11.374473598768
8.25    ,  11.461880925349
8.5     ,  11.562966230336
8.75    ,  11.649064934232
9       ,  11.74342026917
9.25    ,  11.859838702599
9.5     ,  11.979594636358
9.75    ,  12.099459679331
10      ,  12.21959888154
