! (Pin, Pout) in dBm
! @ 6.205 GHz
-25     ,  -11.795476134236
-24.75  ,  -11.549062172201
-24.5   ,  -11.298999987097
-24.25  ,  -11.055973405592
-24     ,  -10.800757138277
-23.75  ,  -10.554147887539
-23.5   ,  -10.306166558201
-23.25  ,  -10.053332028656
-23     ,  -9.8050857143663
-22.75  ,  -9.5558985095352
-22.5   ,  -9.304694699161
-22.25  ,  -9.0588906548763
-22     ,  -8.8077491456232
-21.75  ,  -8.5563635439603
-21.5   ,  -8.3061811757633
-21.25  ,  -8.0590499676906
-21     ,  -7.8101172502995
-20.75  ,  -7.5561707818029
-20.5   ,  -7.3091183028195
-20.25  ,  -7.0628463459238
-20     ,  -6.8099283029369
-19.75  ,  -6.5723448575519
-19.5   ,  -6.3235656983399
-19.25  ,  -6.0728589252884
-19     ,  -5.8235373060853
-18.75  ,  -5.5739886948473
-18.5   ,  -5.325486756229
-18.25  ,  -5.0756478461564
-18     ,  -4.8270350358368
-17.75  ,  -4.5770634254257
-17.5   ,  -4.3291698253012
-17.25  ,  -4.0790785236888
-17     ,  -3.8286103356101
-16.75  ,  -3.5792542462417
-16.5   ,  -3.3273057556928
-16.25  ,  -3.0785521390689
-16     ,  -2.828493370276
-15.75  ,  -2.5797140398086
-15.5   ,  -2.3325764619348
-15.25  ,  -2.0843384188413
-15     ,  -1.8355959389152
-14.75  ,  -1.5819867066201
-14.5   ,  -1.3361889753703
-14.25  ,  -1.0860351263118
-14     ,  -0.83637436884704
-13.75  ,  -0.589108232741
-13.5   ,  -0.34109838759295
-13.25  ,  -0.091992287019581
-13     ,  0.15680116981494
-12.75  ,  0.40371421953099
-12.5   ,  0.65319314494886
-12.25  ,  0.9029200434791
-12     ,  1.1475558337413
-11.75  ,  1.3961608628789
-11.5   ,  1.6446822309273
-11.25  ,  1.8910860986168
-11     ,  2.1381797963991
-10.75  ,  2.3851890969884
-10.5   ,  2.6330318696494
-10.25  ,  2.8797978529235
-10     ,  3.1239519870658
-9.75   ,  3.3715376723308
-9.5    ,  3.6162560286645
-9.25   ,  3.8621012854532
-9      ,  4.1070485926797
-8.75   ,  4.3519611000617
-8.5    ,  4.5965116602856
-8.25   ,  4.8388410873
-8      ,  5.0843539994664
-7.75   ,  5.3268739502318
-7.5    ,  5.5689107712275
-7.25   ,  5.811516687187
-7      ,  6.0506826785519
-6.75   ,  6.292256429971
-6.5    ,  6.5321980537969
-6.25   ,  6.7699155859759
-6      ,  7.0071559458363
-5.75   ,  7.2441568806232
-5.5    ,  7.4787827781543
-5.25   ,  7.712348029455
-5      ,  7.9465140612332
-4.75   ,  8.1748592265142
-4.5    ,  8.402174023011
-4.25   ,  8.6289782287996
-4      ,  8.8519686004581
-3.75   ,  9.0746971594707
-3.5    ,  9.2939611704585
-3.25   ,  9.508898429196
-3      ,  9.7220577107224
-2.75   ,  9.9269165903125
-2.5    ,  10.130010589661
-2.25   ,  10.32607804433
-2      ,  10.519360906641
-1.75   ,  10.703581313741
-1.5    ,  10.884201120903
-1.25   ,  11.05300850819
-1      ,  11.220502968312
-0.75   ,  11.380711342639
-0.5    ,  11.53692484916
-0.25   ,  11.682137705634
0       ,  11.81719954543
0.25    ,  11.949019800405
0.5     ,  12.07404315872
0.75    ,  12.20052571297
1       ,  12.323623465628
1.25    ,  12.436924794084
1.5     ,  12.552019646712
1.75    ,  12.665091122535
2       ,  12.777469282645
2.25    ,  12.877543654542
2.5     ,  12.986064639535
2.75    ,  13.092415966717
3       ,  13.19555362597
3.25    ,  13.289899611388
3.5     ,  13.390606001409
3.75    ,  13.495082912384
4       ,  13.589942576658
4.25    ,  13.682229819249
4.5     ,  13.776446764979
4.75    ,  13.873223485207
5       ,  13.964679939099
5.25    ,  14.097809323825
5.5     ,  14.192801690746
5.75    ,  14.290887009512
6       ,  14.399385909493
6.25    ,  14.476471004327
6.5     ,  14.552384408953
6.75    ,  14.629612009619
7       ,  14.716827222492
7.25    ,  14.802921441864
7.5     ,  14.890806247737
7.75    ,  14.972116683416
8       ,  15.063509840527
8.25    ,  15.154904713407
8.5     ,  15.243840426901
8.75    ,  15.333918357996
9       ,  15.422694947638
9.25    ,  15.511702448798
9.5     ,  15.601286595838
9.75    ,  15.684786020654
10      ,  15.77707184338
