! (Pin, Pout) in dBm
! @ 1.445 GHz
-25     ,  -9.9405610384825
-24.75  ,  -9.6819882998459
-24.5   ,  -9.4332186083383
-24.25  ,  -9.187355744123
-24     ,  -8.9353159908559
-23.75  ,  -8.6840386929592
-23.5   ,  -8.4394946715766
-23.25  ,  -8.1860939723015
-23     ,  -7.9345425078198
-22.75  ,  -7.6837662624763
-22.5   ,  -7.4348377035901
-22.25  ,  -7.183546444629
-22     ,  -6.935134814852
-21.75  ,  -6.6862074552499
-21.5   ,  -6.4355392752851
-21.25  ,  -6.1863781630683
-21     ,  -5.9350511215859
-20.75  ,  -5.6854516571003
-20.5   ,  -5.4295399154719
-20.25  ,  -5.1883815314381
-20     ,  -4.9392341838449
-19.75  ,  -4.6856112081868
-19.5   ,  -4.4441630395985
-19.25  ,  -4.1935255289182
-19     ,  -3.9356107597065
-18.75  ,  -3.6871446145522
-18.5   ,  -3.4396519566659
-18.25  ,  -3.1917822781658
-18     ,  -2.9342502262666
-17.75  ,  -2.6843680453845
-17.5   ,  -2.4355276092822
-17.25  ,  -2.1901831577028
-17     ,  -1.9329724966756
-16.75  ,  -1.6885411020731
-16.5   ,  -1.4387564144858
-16.25  ,  -1.1884107038849
-16     ,  -0.93566740410115
-15.75  ,  -0.69203869916272
-15.5   ,  -0.43478527865955
-15.25  ,  -0.18916466044617
-15     ,  0.05959511728393
-14.75  ,  0.31084891168649
-14.5   ,  0.56078161626169
-14.25  ,  0.81054916930688
-14     ,  1.058514990628
-13.75  ,  1.3121252905609
-13.5   ,  1.5593500516169
-13.25  ,  1.8100230666042
-13     ,  2.0591647707934
-12.75  ,  2.3088525153323
-12.5   ,  2.5571650955482
-12.25  ,  2.8113167747678
-12     ,  3.0570788302592
-11.75  ,  3.3059186070609
-11.5   ,  3.5551078796757
-11.25  ,  3.8091709981497
-11     ,  4.0579489439122
-10.75  ,  4.30587992945
-10.5   ,  4.5564695198906
-10.25  ,  4.805382771216
-10     ,  5.0555265419617
-9.75   ,  5.3035086208382
-9.5    ,  5.5545616082555
-9.25   ,  5.8026185425784
-9      ,  6.0508407515172
-8.75   ,  6.3015202531558
-8.5    ,  6.5505158932155
-8.25   ,  6.8029360134706
-8      ,  7.0505029209003
-7.75   ,  7.3000777149861
-7.5    ,  7.548602527623
-7.25   ,  7.7970161476197
-7      ,  8.0444210859197
-6.75   ,  8.2943355408747
-6.5    ,  8.5447295741431
-6.25   ,  8.7941382869033
-6      ,  9.0436173303307
-5.75   ,  9.292323899013
-5.5    ,  9.5404806838721
-5.25   ,  9.7886303328409
-5      ,  10.039523279692
-4.75   ,  10.285951204439
-4.5    ,  10.534970117589
-4.25   ,  10.785746440032
-4      ,  11.032381765198
-3.75   ,  11.280123930076
-3.5    ,  11.528009819545
-3.25   ,  11.777569548981
-3      ,  12.025915406929
-2.75   ,  12.272865416281
-2.5    ,  12.519356124103
-2.25   ,  12.767843843671
-2      ,  13.015910834393
-1.75   ,  13.263881400181
-1.5    ,  13.51014056857
-1.25   ,  13.754898987277
-1      ,  14.001645961376
-0.75   ,  14.246426192747
-0.5    ,  14.492588403313
-0.25   ,  14.73886779524
0       ,  14.981638558561
0.25    ,  15.224665551063
0.5     ,  15.469203977816
0.75    ,  15.712453044365
1       ,  15.953189502987
1.25    ,  16.1939542919
1.5     ,  16.431815394912
1.75    ,  16.668859043998
2       ,  16.904619720039
2.25    ,  17.14144760241
2.5     ,  17.370375366096
2.75    ,  17.596783963779
3       ,  17.819608393999
3.25    ,  18.033499898608
3.5     ,  18.240076544874
3.75    ,  18.434759253425
4       ,  18.624535550576
4.25    ,  18.795811997725
4.5     ,  18.952890650527
4.75    ,  19.100616422691
5       ,  19.235887556245
5.25    ,  19.399566744308
5.5     ,  19.485552817597
5.75    ,  19.587259185161
6       ,  19.674931011024
6.25    ,  19.748090400995
6.5     ,  19.797759842596
6.75    ,  19.852948561053
7       ,  19.917492946449
7.25    ,  19.981342008451
7.5     ,  20.03859534817
7.75    ,  20.102660995366
8       ,  20.168139433234
8.25    ,  20.221797848052
8.5     ,  20.277673651803
8.75    ,  20.332450601995
9       ,  20.384619815903
9.25    ,  20.431795454671
9.5     ,  20.477306823282
9.75    ,  20.52313383344
10      ,  20.5748806243
