! (Pin, Pout) in dBm
! @ 5.695 GHz
-25     ,  -11.169785859145
-24.75  ,  -10.9279851289
-24.5   ,  -10.673011065845
-24.25  ,  -10.41881440371
-24     ,  -10.171351097925
-23.75  ,  -9.9209259124658
-23.5   ,  -9.6698675065667
-23.25  ,  -9.4227937757655
-23     ,  -9.1729205308957
-22.75  ,  -8.9242721002002
-22.5   ,  -8.6727087242391
-22.25  ,  -8.4256647730412
-22     ,  -8.1746077673749
-21.75  ,  -7.922548333728
-21.5   ,  -7.6739511520163
-21.25  ,  -7.4259114383685
-21     ,  -7.1753856025113
-20.75  ,  -6.9279103604009
-20.5   ,  -6.6772457713631
-20.25  ,  -6.4293141541235
-20     ,  -6.1794668402977
-19.75  ,  -5.9281755335812
-19.5   ,  -5.6860686049029
-19.25  ,  -5.4345667518343
-19     ,  -5.1815459073301
-18.75  ,  -4.9302775913439
-18.5   ,  -4.6827856832917
-18.25  ,  -4.43017745828
-18     ,  -4.1834537234983
-17.75  ,  -3.9370097510079
-17.5   ,  -3.6845893626995
-17.25  ,  -3.4327489079219
-17     ,  -3.1835436301349
-16.75  ,  -2.9355177891686
-16.5   ,  -2.6909886781974
-16.25  ,  -2.437842078051
-16     ,  -2.1896325828373
-15.75  ,  -1.9387784267148
-15.5   ,  -1.6921599675833
-15.25  ,  -1.4377490112888
-15     ,  -1.1919552870814
-14.75  ,  -0.94239363841431
-14.5   ,  -0.69354298464557
-14.25  ,  -0.44505986339374
-14     ,  -0.19675289649971
-13.75  ,  0.052873160843117
-13.5   ,  0.2999622844051
-13.25  ,  0.54892832719154
-13     ,  0.79708666580188
-12.75  ,  1.0474044028034
-12.5   ,  1.2937144393473
-12.25  ,  1.5435918162337
-12     ,  1.7895369653
-11.75  ,  2.0382823771926
-11.5   ,  2.2846945331437
-11.25  ,  2.5334685276702
-11     ,  2.7813743488576
-10.75  ,  3.0277948770194
-10.5   ,  3.2740760649085
-10.25  ,  3.5218951332064
-10     ,  3.7678234414244
-9.75   ,  4.0129424508917
-9.5    ,  4.2604867610084
-9.25   ,  4.5040759751526
-9      ,  4.7517876488254
-8.75   ,  4.9948641986296
-8.5    ,  5.2389175225962
-8.25   ,  5.4841615550756
-8      ,  5.727766790204
-7.75   ,  5.9695982305635
-7.5    ,  6.2137641698879
-7.25   ,  6.4561206229198
-7      ,  6.698023850883
-6.75   ,  6.9395078175886
-6.5    ,  7.1783079575862
-6.25   ,  7.4178219753838
-6      ,  7.6565199976908
-5.75   ,  7.8955910751719
-5.5    ,  8.1310933166564
-5.25   ,  8.3672237854486
-5      ,  8.6005194214152
-4.75   ,  8.8323689384003
-4.5    ,  9.0616668471294
-4.25   ,  9.2902608196925
-4      ,  9.5165252996558
-3.75   ,  9.7410076286343
-3.5    ,  9.9619469652578
-3.25   ,  10.1814932032
-3      ,  10.397316764342
-2.75   ,  10.606438094406
-2.5    ,  10.81366320224
-2.25   ,  11.015685679659
-2      ,  11.211314390818
-1.75   ,  11.401601565431
-1.5    ,  11.586426108453
-1.25   ,  11.763302817341
-1      ,  11.93220543939
-0.75   ,  12.096462865085
-0.5    ,  12.254128137392
-0.25   ,  12.404725845261
0       ,  12.544107411501
0.25    ,  12.675272568425
0.5     ,  12.80256080993
0.75    ,  12.928443089169
1       ,  13.046820763142
1.25    ,  13.160183148715
1.5     ,  13.276387917783
1.75    ,  13.384697870465
2       ,  13.499110522603
2.25    ,  13.600297101394
2.5     ,  13.704427388166
2.75    ,  13.803496617972
3       ,  13.902758419788
3.25    ,  13.99919808062
3.5     ,  14.093848492103
3.75    ,  14.192230995429
4       ,  14.285410340524
4.25    ,  14.373749365139
4.5     ,  14.461406478338
4.75    ,  14.553473324819
5       ,  14.641481761629
5.25    ,  14.788541665377
5.5     ,  14.878047786642
5.75    ,  14.980909081853
6       ,  15.080955306478
6.25    ,  15.149682213214
6.5     ,  15.223906876248
6.75    ,  15.301990217012
7       ,  15.380822823789
7.25    ,  15.460243500281
7.5     ,  15.542241936009
7.75    ,  15.624501245025
8       ,  15.709557222398
8.25    ,  15.78857724281
8.5     ,  15.878179271475
8.75    ,  15.958200326031
9       ,  16.043769149625
9.25    ,  16.124588615163
9.5     ,  16.204597568901
9.75    ,  16.287171058779
10      ,  16.365932673426
