! (Pin, Pout) in dBm
! @ 5.270 GHz
-25     ,  -10.718213869957
-24.75  ,  -10.465083622822
-24.5   ,  -10.2102679536
-24.25  ,  -9.9642051579866
-24     ,  -9.714169755413
-23.75  ,  -9.4609099413739
-23.5   ,  -9.213692895279
-23.25  ,  -8.966860385563
-23     ,  -8.7152270097273
-22.75  ,  -8.4664067823639
-22.5   ,  -8.2126994882367
-22.25  ,  -7.9658975634926
-22     ,  -7.7132254268788
-21.75  ,  -7.4640199679017
-21.5   ,  -7.2141401033773
-21.25  ,  -6.964746995665
-21     ,  -6.7154578890727
-20.75  ,  -6.4669894932131
-20.5   ,  -6.2183141821362
-20.25  ,  -5.9643832757826
-20     ,  -5.7181717189896
-19.75  ,  -5.4662338052878
-19.5   ,  -5.2137245919123
-19.25  ,  -4.9706204831304
-19     ,  -4.7227517281711
-18.75  ,  -4.4723878491145
-18.5   ,  -4.2214873329317
-18.25  ,  -3.9725264740791
-18     ,  -3.7228617720021
-17.75  ,  -3.473472975657
-17.5   ,  -3.2211688129131
-17.25  ,  -2.9772661495889
-17     ,  -2.7228202489372
-16.75  ,  -2.4757301745472
-16.5   ,  -2.226255765789
-16.25  ,  -1.9764738120062
-16     ,  -1.7257500242452
-15.75  ,  -1.4802924883645
-15.5   ,  -1.2274878556205
-15.25  ,  -0.98189760184262
-15     ,  -0.72864051839228
-14.75  ,  -0.48085077759647
-14.5   ,  -0.23203189489129
-14.25  ,  0.016206569149499
-14     ,  0.26640443181745
-13.75  ,  0.51255538458244
-13.5   ,  0.76351420839806
-13.25  ,  1.0117864629444
-13     ,  1.2590052744343
-12.75  ,  1.5083383144691
-12.5   ,  1.7573811993068
-12.25  ,  2.0061373231378
-12     ,  2.2543381705179
-11.75  ,  2.5021013556699
-11.5   ,  2.7481600786685
-11.25  ,  2.9967275801182
-11     ,  3.2453898914104
-10.75  ,  3.4913653557723
-10.5   ,  3.7392919723409
-10.25  ,  3.9867649792852
-10     ,  4.2335515609263
-9.75   ,  4.4791744844923
-9.5    ,  4.7256545417778
-9.25   ,  4.9740634351635
-9      ,  5.2201335196662
-8.75   ,  5.4629367182721
-8.5    ,  5.7091357479896
-8.25   ,  5.9552805094694
-8      ,  6.2002313624854
-7.75   ,  6.443078798069
-7.5    ,  6.687965650986
-7.25   ,  6.9322782310981
-7      ,  7.1753788375667
-6.75   ,  7.4166711063733
-6.5    ,  7.6591645233117
-6.25   ,  7.9003355191829
-6      ,  8.1426063103268
-5.75   ,  8.3821155566214
-5.5    ,  8.6213225597187
-5.25   ,  8.8587184096366
-5      ,  9.0974382656665
-4.75   ,  9.3318440232145
-4.5    ,  9.5659383259497
-4.25   ,  9.7984872613703
-4      ,  10.029222272891
-3.75   ,  10.258224905807
-3.5    ,  10.488359406163
-3.25   ,  10.71276120159
-3      ,  10.933887536889
-2.75   ,  11.152873427996
-2.5    ,  11.367075791874
-2.25   ,  11.576997705469
-2      ,  11.784018086562
-1.75   ,  11.98236299651
-1.5    ,  12.175837953247
-1.25   ,  12.360135394071
-1      ,  12.537078914033
-0.75   ,  12.708105695945
-0.5    ,  12.875954046017
-0.25   ,  13.037358611576
0       ,  13.181530450019
0.25    ,  13.318785203951
0.5     ,  13.448405073162
0.75    ,  13.57463582435
1       ,  13.697206956334
1.25    ,  13.818156878369
1.5     ,  13.932837652658
1.75    ,  14.040307570919
2       ,  14.145696825347
2.25    ,  14.250644848787
2.5     ,  14.354878563632
2.75    ,  14.453893498657
3       ,  14.542363102635
3.25    ,  14.640380410002
3.5     ,  14.731806311867
3.75    ,  14.818722686289
4       ,  14.90913597098
4.25    ,  14.995737098547
4.5     ,  15.079337820131
4.75    ,  15.170464454377
5       ,  15.251836988275
5.25    ,  15.388655856084
5.5     ,  15.470985132716
5.75    ,  15.567696839751
6       ,  15.665018669119
6.25    ,  15.733665271922
6.5     ,  15.795368457298
6.75    ,  15.867307407159
7       ,  15.939124457772
7.25    ,  16.010410355526
7.5     ,  16.086663307765
7.75    ,  16.161252438685
8       ,  16.242814730246
8.25    ,  16.315032938185
8.5     ,  16.396666745029
8.75    ,  16.470179260415
9       ,  16.54514885728
9.25    ,  16.599276334052
9.5     ,  16.656680375955
9.75    ,  16.711273873415
10      ,  16.768663318693
