! (Pin, Pout) in dBm
! @ 5.525 GHz
-25     ,  -10.688329476723
-24.75  ,  -10.439824466213
-24.5   ,  -10.190541526906
-24.25  ,  -9.9404858361864
-24     ,  -9.6885070009255
-23.75  ,  -9.4399127878797
-23.5   ,  -9.1928861848927
-23.25  ,  -8.9376994751842
-23     ,  -8.6899994972416
-22.75  ,  -8.4441323425132
-22.5   ,  -8.1906773701976
-22.25  ,  -7.9432268913848
-22     ,  -7.691883312771
-21.75  ,  -7.4437714940384
-21.5   ,  -7.1919825420817
-21.25  ,  -6.9443064384753
-21     ,  -6.6927416302488
-20.75  ,  -6.4445659903762
-20.5   ,  -6.1936456445839
-20.25  ,  -5.9421945428932
-20     ,  -5.6959127022341
-19.75  ,  -5.4436126088243
-19.5   ,  -5.1976313604869
-19.25  ,  -4.9467825769045
-19     ,  -4.6965183630032
-18.75  ,  -4.4480699871484
-18.5   ,  -4.196294460868
-18.25  ,  -3.9476095503673
-18     ,  -3.6995374432726
-17.75  ,  -3.4520943166721
-17.5   ,  -3.2012177941346
-17.25  ,  -2.9527062976082
-17     ,  -2.7000721751142
-16.75  ,  -2.4540657708678
-16.5   ,  -2.2029650132316
-16.25  ,  -1.9576762286955
-16     ,  -1.7049145086599
-15.75  ,  -1.4555739706621
-15.5   ,  -1.2074422461779
-15.25  ,  -0.95813643457316
-15     ,  -0.70787588871753
-14.75  ,  -0.45871698019854
-14.5   ,  -0.21143539135124
-14.25  ,  0.036724451152569
-14     ,  0.2874499990313
-13.75  ,  0.53497334629898
-13.5   ,  0.78414097353333
-13.25  ,  1.0331621464421
-13     ,  1.2815744692997
-12.75  ,  1.5279902354616
-12.5   ,  1.778865502558
-12.25  ,  2.0252262759824
-12     ,  2.2740197900394
-11.75  ,  2.5215807038621
-11.5   ,  2.7679103605885
-11.25  ,  3.0168074573953
-11     ,  3.2654862272627
-10.75  ,  3.5116678198254
-10.5   ,  3.7589767148459
-10.25  ,  4.004502806227
-10     ,  4.2516834897643
-9.75   ,  4.4964069979717
-9.5    ,  4.7430051948349
-9.25   ,  4.9887382570695
-9      ,  5.234416909335
-8.75   ,  5.4793523551989
-8.5    ,  5.725180027492
-8.25   ,  5.9695686007033
-8      ,  6.2138307879974
-7.75   ,  6.4566498469342
-7.5    ,  6.7002953914104
-7.25   ,  6.9432112332093
-7      ,  7.1860247329524
-6.75   ,  7.4278063020907
-6.5    ,  7.6686294504142
-6.25   ,  7.9096601577588
-6      ,  8.1490259457396
-5.75   ,  8.3871020928749
-5.5    ,  8.6260178545441
-5.25   ,  8.8607592146308
-5      ,  9.0968852650788
-4.75   ,  9.3289696862577
-4.5    ,  9.5612371626718
-4.25   ,  9.7902084507929
-4      ,  10.017575524272
-3.75   ,  10.245023363043
-3.5    ,  10.470980279534
-3.25   ,  10.692195556923
-3      ,  10.907544130279
-2.75   ,  11.121094838084
-2.5    ,  11.329940472868
-2.25   ,  11.533990577885
-2      ,  11.73167626825
-1.75   ,  11.924895334353
-1.5    ,  12.111123322389
-1.25   ,  12.287312149015
-1      ,  12.455353270926
-0.75   ,  12.619542593173
-0.5    ,  12.77726923212
-0.25   ,  12.931666017912
0       ,  13.067440436822
0.25    ,  13.19566901492
0.5     ,  13.317931114232
0.75    ,  13.440171843366
1       ,  13.558578518661
1.25    ,  13.674553726014
1.5     ,  13.782828378069
1.75    ,  13.886315228506
2       ,  13.990900691789
2.25    ,  14.096942039762
2.5     ,  14.191433205405
2.75    ,  14.290622233133
3       ,  14.379698663452
3.25    ,  14.473790285807
3.5     ,  14.566216943977
3.75    ,  14.655218741575
4       ,  14.742613307683
4.25    ,  14.836527270009
4.5     ,  14.919324034407
4.75    ,  15.00697258714
5       ,  15.090062162037
5.25    ,  15.224167024398
5.5     ,  15.30663097223
5.75    ,  15.403682906906
6       ,  15.502161472211
6.25    ,  15.571817690766
6.5     ,  15.639601363562
6.75    ,  15.708935411448
7       ,  15.787185040416
7.25    ,  15.861540402478
7.5     ,  15.938519523186
7.75    ,  16.016958186507
8       ,  16.09990758252
8.25    ,  16.175345276944
8.5     ,  16.259663895541
8.75    ,  16.334759121492
9       ,  16.410909963545
9.25    ,  16.49595409351
9.5     ,  16.573888099242
9.75    ,  16.650977870235
10      ,  16.727405965793
