Frequency Hz,       Pin[Max Gain] dBm,  Max Gain dB,        Pout[Max] dBm,      Pin[Comp] dBm,      Gain[Comp] dB,      Pout[Comp] dBm      
4.74e+09            -25                 26.0247             1.02472             -13.8607            25.0247             11.164              
4.78e+09            -23.4694            25.9032             2.43378             -13.3538            24.9032             11.5494             
4.82e+09            -24.3878            25.7422             1.35444             -14.4349            24.7422             10.3073             
4.86e+09            -23.4694            25.6509             2.18156             -12.7241            24.6509             11.9268             
4.9e+09             -24.3878            25.4964             1.10867             -13.9772            24.4964             10.5192             
4.94e+09            -24.3878            25.4269             1.03915             -13.1736            24.4269             11.2533             
4.98e+09            -24.0816            25.2649             1.18324             -13.1837            24.2649             11.0812             
5.02e+09            -24.6939            25.1815             0.487656            -13.4552            24.1815             10.7263             
5.06e+09            -24.0816            25.0196             0.937951            -12.3611            24.0196             11.6585             
5.1e+09             -23.7755            24.9694             1.19388             -13.9567            23.9694             10.0126             
5.14e+09            -24.6939            24.7945             0.100603            -12.162             23.7945             11.6325             
5.18e+09            -24.6939            24.7044             0.0104784           -13.4079            23.7044             10.2964             
5.22e+09            -23.4694            24.6263             1.15695             -12.4367            23.6263             11.1897             
5.26e+09            -25                 24.5022             -0.497789           -12.9588            23.5022             10.5434             
5.3e+09             -24.6939            24.4313             -0.262537           -12.6199            23.4313             10.8114             
5.34e+09            -24.6939            24.2587             -0.435158           -12.4914            23.2587             10.7673             
5.38e+09            -23.4694            24.2474             0.778011            -12.8098            23.2474             10.4376             
5.42e+09            -24.6939            24.0706             -0.623248           -12.3218            23.0706             10.7488             
5.46e+09            -25                 24.0318             -0.968191           -12.4592            23.0318             10.5726             
5.5e+09             -25                 23.851              -1.14899            -12.4944            22.851              10.3566             
