! (frequency, Nominal Gain) in Hz, dB
! @ Pin = -25.00 dBm (minimum power)
9000              ,  -80.683
85008910          ,  16.097
170008820         ,  15.739
255008730         ,  15.661
340008640         ,  15.539
425008550         ,  15.476
510008460         ,  15.486
595008370         ,  15.38
680008280         ,  15.372
765008190         ,  15.335
850008100         ,  15.329
935008010         ,  15.251
1020007920        ,  15.237
1105007830        ,  15.286
1190007740        ,  15.132
1275007650        ,  15.228
1360007560        ,  15.185
1445007470        ,  15.059
1530007380        ,  15.183
1615007290        ,  15.028
1700007200        ,  15.099
1785007110        ,  15.055
1870007020        ,  14.999
1955006930        ,  15.081
2040006840        ,  14.959
2125006750        ,  15.035
2210006660        ,  14.943
2295006570        ,  14.924
2380006480        ,  14.976
2465006390        ,  14.84
2550006300        ,  14.862
2635006210        ,  14.956
2720006120        ,  14.739
2805006030        ,  14.776
2890005940        ,  14.871
2975005850        ,  14.564
3060005760        ,  14.831
3145005670        ,  14.804
3230005580        ,  14.595
3315005490        ,  14.819
3400005400        ,  14.739
3485005310        ,  14.672
3570005220        ,  14.894
3655005130        ,  14.678
3740005040        ,  14.617
3825004950        ,  14.828
3910004860        ,  14.651
3995004770        ,  14.657
4080004680        ,  14.84
4165004590        ,  14.675
4250004500        ,  14.812
4335004410        ,  14.801
4420004320        ,  14.708
4505004230        ,  14.761
4590004140        ,  14.681
4675004050        ,  14.644
4760003960        ,  14.561
4845003870        ,  14.602
4930003780        ,  14.596
5015003690        ,  14.42
5100003600        ,  14.627
5185003510        ,  14.376
5270003420        ,  14.282
5355003330        ,  14.661
5440003240        ,  14.105
5525003150        ,  14.312
5610003060        ,  14.393
5695002970        ,  13.83
5780002880        ,  14.277
5865002790        ,  13.91
5950002700        ,  13.609
6035002610        ,  13.875
6120002520        ,  13.411
6205002430        ,  13.205
6290002340        ,  13.424
6375002250        ,  12.805
6460002160        ,  12.526
6545002070        ,  12.545
6630001980        ,  12.041
6715001890        ,  11.535
6800001800        ,  11.555
6885001710        ,  11.109
6970001620        ,  10.754
7055001530        ,  10.763
7140001440        ,  10.268
7225001350        ,  10.031
7310001260        ,  9.7189
7395001170        ,  9.422
7480001080        ,  9.2671
7565000990        ,  9.1876
7650000900        ,  8.3662
7735000810        ,  8.5092
7820000720        ,  8.274
7905000630        ,  7.2549
7990000540        ,  7.6297
8075000450        ,  7.5588
8160000360        ,  6.8348
8245000270        ,  6.5099
8330000180        ,  6.8354
8415000090        ,  6.1365
8500000000        ,  5.4824
