! Compression points
! (frequency, Pin, Pout) in Hz, dBm, dBm
9000              ,  2.793     ,  -78.89
85008910          ,  4.073     ,  19.17
170008820         ,  4.752     ,  19.49
255008730         ,  4.933     ,  19.59
340008640         ,  4.937     ,  19.48
425008550         ,  5.076     ,  19.55
510008460         ,  5.02      ,  19.51
595008370         ,  5.248     ,  19.63
680008280         ,  5.186     ,  19.56
765008190         ,  5.29      ,  19.63
850008100         ,  5.175     ,  19.5
935008010         ,  5.351     ,  19.6
1020007920        ,  5.435     ,  19.67
1105007830        ,  4.96      ,  19.25
1190007740        ,  5.427     ,  19.56
1275007650        ,  5.284     ,  19.51
1360007560        ,  5.249     ,  19.43
1445007470        ,  5.387     ,  19.45
1530007380        ,  4.914     ,  19.1
1615007290        ,  4.854     ,  18.88
1700007200        ,  4.912     ,  19.01
1785007110        ,  4.859     ,  18.91
1870007020        ,  4.813     ,  18.81
1955006930        ,  4.826     ,  18.91
2040006840        ,  4.816     ,  18.77
2125006750        ,  4.825     ,  18.86
2210006660        ,  4.752     ,  18.7
2295006570        ,  4.653     ,  18.58
2380006480        ,  4.6       ,  18.58
2465006390        ,  4.502     ,  18.34
2550006300        ,  4.426     ,  18.29
2635006210        ,  4.153     ,  18.11
2720006120        ,  4.237     ,  17.98
2805006030        ,  4.095     ,  17.87
2890005940        ,  3.685     ,  17.56
2975005850        ,  3.851     ,  17.42
3060005760        ,  3.75      ,  17.58
3145005670        ,  3.514     ,  17.32
3230005580        ,  3.628     ,  17.22
3315005490        ,  3.278     ,  17.1
3400005400        ,  3.037     ,  16.78
3485005310        ,  3.051     ,  16.72
3570005220        ,  2.7       ,  16.59
3655005130        ,  2.502     ,  16.18
3740005040        ,  2.529     ,  16.15
3825004950        ,  2.026     ,  15.85
3910004860        ,  1.933     ,  15.58
3995004770        ,  1.756     ,  15.41
4080004680        ,  1.428     ,  15.27
4165004590        ,  1.547     ,  15.22
4250004500        ,  1.233     ,  15.04
4335004410        ,  1.023     ,  14.82
4420004320        ,  1.064     ,  14.77
4505004230        ,  0.7376    ,  14.5
4590004140        ,  0.5868    ,  14.27
4675004050        ,  0.5447    ,  14.19
4760003960        ,  0.3981    ,  13.96
4845003870        ,  0.1557    ,  13.76
4930003780        ,  0.02828   ,  13.62
5015003690        ,  0.05039   ,  13.47
5100003600        ,  -0.4042   ,  13.22
5185003510        ,  -0.3353   ,  13.04
5270003420        ,  -0.2368   ,  13.04
5355003330        ,  -0.8824   ,  12.78
5440003240        ,  -0.4748   ,  12.63
5525003150        ,  -0.5932   ,  12.72
5610003060        ,  -1.027    ,  12.37
5695002970        ,  -0.706    ,  12.12
5780002880        ,  -1.009    ,  12.27
5865002790        ,  -1.035    ,  11.87
5950002700        ,  -0.9145   ,  11.69
6035002610        ,  -1.226    ,  11.65
6120002520        ,  -1.044    ,  11.37
6205002430        ,  -0.9555   ,  11.25
6290002340        ,  -1.249    ,  11.18
6375002250        ,  -0.8122   ,  10.99
6460002160        ,  -0.5615   ,  10.96
6545002070        ,  -0.8218   ,  10.72
6630001980        ,  -0.4108   ,  10.63
6715001890        ,  -0.1583   ,  10.38
6800001800        ,  -0.4149   ,  10.14
6885001710        ,  -0.1677   ,  9.941
6970001620        ,  0.1107    ,  9.865
7055001530        ,  0.1159    ,  9.879
7140001440        ,  0.7056    ,  9.973
7225001350        ,  0.8979    ,  9.929
7310001260        ,  1.156     ,  9.875
7395001170        ,  1.163     ,  9.585
7480001080        ,  0.8147    ,  9.082
7565000990        ,  0.8206    ,  9.008
7650000900        ,  1.672     ,  9.039
7735000810        ,  1.97      ,  9.48
7820000720        ,  1.956     ,  9.23
7905000630        ,  2.582     ,  8.837
7990000540        ,  2.246     ,  8.875
8075000450        ,  2.407     ,  8.966
8160000360        ,  2.84      ,  8.675
8245000270        ,  3.334     ,  8.844
8330000180        ,  3.293     ,  9.128
8415000090        ,  3.399     ,  8.536
8500000000        ,  3.995     ,  8.477
