! R&S PA Compression Test Version 1.6
! (C) 2016 Rohde & Schwarz North America
! 
! Fri Feb 04 01:34:17 2016
! 
! VNA INSTRUMENT INFO
! Connection:       TCPIP
! Address:          127.0.0.1
! Make:             Rohde & Schwarz
! Model:            ZVA
! Serial No:        1145101099999999
! Firmware Version: 3.60
! Min Frequency:    300 KHz
! Max Frequency:    8 GHz
! Number of Ports:  4
! Options:
!     ZVA-K7
!     ZVA-K17
!     ZVAB-SIM
!     ZVT8-B63
!     ZVT8-B64
!     ZVT8-B65
!     ZVT8-B66
!     ZVT8-B68
!     ZVA8-B16
!     ZVA8-B21
!     ZVA8-B22
!     ZVA8-B23
!     ZVA8-B24
!     ZVA8-B31
!     ZVA8-B32
!     ZVA8-B33
!     ZVA8-B34
!     ZVT8-B67
!     ZVA-B7
! 
! PULSED RF? No
! 
! SETTINGS
! Start Frequency:        500 MHz
! Stop Frequency:         6 GHz
! Frequency Points:       51
! IF BW:                  100 KHz
! 
! Start Power:            -20 dBm
! Stop Power:             10 dBm
! Power Points:           61
! Compression value:      1 dB
! Include gain expansion? Yes
! Stop at compression?    Yes
! Post Condition:         None
! 
! Channel:                1
! Input port:             1
! Output port:            2
! 
! 
Frequency_Hz,             Pin_dBm,                  Pin_deg,                  Pout_dBm,                 Pout_deg,                 S11_dB,                   S11_deg,                  S21_dB,                   S21_deg,                  S12_dB,                   S12_deg,                  S22_dB,                   S22_deg
5.000000000000000e+08,    -1.487387285836822e+01,   0.000000000000000e+00,    7.051118283410549e-01,    1.451315647424132e+02,    -1.555875423078838e+01,   1.558497698485753e+02,    1.557898468670928e+01,    1.451315647424132e+02,    -2.255661874889716e+01,   -3.035897674610939e+01,   -1.715638943275526e+01,   5.770997389070407e+01
5.000000000000000e+08,    -1.449276302024951e+01,   0.000000000000000e+00,    1.160205313970526e+00,    1.452132786166066e+02,    -1.543497229102933e+01,   1.561945718191618e+02,    1.565296833422003e+01,    1.452132786166066e+02,    -2.255377227558846e+01,   -3.050462947197769e+01,   -1.715310350765059e+01,   4.534129312311280e+01
5.000000000000000e+08,    -1.389568571316418e+01,   0.000000000000000e+00,    1.683096642850668e+00,    1.449592258835069e+02,    -1.551802260260272e+01,   1.564512339466427e+02,    1.557878235601485e+01,    1.449592258835069e+02,    -2.265577474546495e+01,   -2.955865022858307e+01,   -1.670195518613873e+01,   4.903468015580334e+01
5.000000000000000e+08,    -1.350569325941405e+01,   0.000000000000000e+00,    2.143167507528933e+00,    1.450535790738710e+02,    -1.540330175706302e+01,   1.558413422550805e+02,    1.564886076694298e+01,    1.450535790738710e+02,    -2.271678382907213e+01,   -3.003988409952907e+01,   -1.720363453654907e+01,   4.586559713357010e+01
5.000000000000000e+08,    -1.296635122405940e+01,   0.000000000000000e+00,    2.673524647650055e+00,    1.449563110533608e+02,    -1.545880246062215e+01,   1.559878083616066e+02,    1.563987587170946e+01,    1.449563110533608e+02,    -2.259462287579233e+01,   -2.986703350529294e+01,   -1.681112504969657e+01,   4.827543035764875e+01
5.000000000000000e+08,    -1.238423400796290e+01,   0.000000000000000e+00,    3.164006869951134e+00,    1.451082122534514e+02,    -1.561240480397313e+01,   1.559632334125200e+02,    1.554824087791403e+01,    1.451082122534514e+02,    -2.255946480073959e+01,   -2.973642573503952e+01,   -1.756922400991375e+01,   5.038572850066920e+01
5.000000000000000e+08,    -1.193974052421051e+01,   0.000000000000000e+00,    3.667480421688809e+00,    1.452204407808117e+02,    -1.545692760408961e+01,   1.564231770106992e+02,    1.560722094589932e+01,    1.452204407808117e+02,    -2.261780315478839e+01,   -3.049060461369552e+01,   -1.791073115376891e+01,   4.822773147188946e+01
5.000000000000000e+08,    -1.148489453207598e+01,   0.000000000000000e+00,    4.129177028592395e+00,    1.449188166939439e+02,    -1.544354390221882e+01,   1.561921248446939e+02,    1.561407156066838e+01,    1.449188166939439e+02,    -2.262711240376644e+01,   -2.984176845070700e+01,   -1.738138697565265e+01,   4.767231573906813e+01
5.000000000000000e+08,    -1.104277203877231e+01,   0.000000000000000e+00,    4.620112272638163e+00,    1.451568066278876e+02,    -1.537513079451682e+01,   1.562633470415630e+02,    1.566288431141048e+01,    1.451568066278876e+02,    -2.262520377294982e+01,   -2.995098320154977e+01,   -1.791778930154133e+01,   5.611104333042906e+01
5.000000000000000e+08,    -1.053899050724221e+01,   0.000000000000000e+00,    5.109620253462824e+00,    1.450987072611526e+02,    -1.541492610046635e+01,   1.562965167754371e+02,    1.564861076070503e+01,    1.450987072611526e+02,    -2.256651938191932e+01,   -2.995811139572820e+01,   -1.778745715023083e+01,   4.646039588813200e+01
5.000000000000000e+08,    -1.003807902264691e+01,   0.000000000000000e+00,    5.580049524106656e+00,    1.452581207315954e+02,    -1.547317677565902e+01,   1.564521565334950e+02,    1.561812854675357e+01,    1.452581207315954e+02,    -2.254013037648878e+01,   -2.987704465490962e+01,   -1.751949081866319e+01,   4.903203480305952e+01
5.000000000000000e+08,    -9.536763151782544e+00,   0.000000000000000e+00,    6.068241371060729e+00,    1.452167457836107e+02,    -1.545238629495828e+01,   1.563288953926541e+02,    1.560500452284327e+01,    1.452167457836107e+02,    -2.264173989394334e+01,   -2.974879743344239e+01,   -1.707289527721876e+01,   4.923826408835212e+01
5.000000000000000e+08,    -8.963549692517468e+00,   0.000000000000000e+00,    6.593123671593965e+00,    1.447942661400182e+02,    -1.555757952494166e+01,   1.557074406780445e+02,    1.555667336411143e+01,    1.447942661400182e+02,    -2.257971656707009e+01,   -2.942586051230629e+01,   -1.766386164180680e+01,   5.021395353985244e+01
5.000000000000000e+08,    -8.533362768658371e+00,   0.000000000000000e+00,    7.081937316811239e+00,    1.448634111460339e+02,    -1.545908960719816e+01,   1.560712698646478e+02,    1.561530008546961e+01,    1.448634111460339e+02,    -2.263925237426076e+01,   -2.984358738411286e+01,   -1.768777998720998e+01,   4.909231454143603e+01
5.000000000000000e+08,    -8.065706028211750e+00,   0.000000000000000e+00,    7.555934080952380e+00,    1.453729134707711e+02,    -1.547178778873332e+01,   1.565771711076945e+02,    1.562164010916413e+01,    1.453729134707711e+02,    -2.270366704366838e+01,   -2.982415518473603e+01,   -1.767857005765728e+01,   4.951010964684743e+01
5.000000000000000e+08,    -7.571977680661099e+00,   0.000000000000000e+00,    8.045455472350511e+00,    1.453398854700125e+02,    -1.551861526433168e+01,   1.564054963223597e+02,    1.561743315301161e+01,    1.453398854700125e+02,    -2.264188756130074e+01,   -2.968970684946357e+01,   -1.765782121021732e+01,   5.103410711798262e+01
5.000000000000000e+08,    -7.042743779891666e+00,   0.000000000000000e+00,    8.518755722364119e+00,    1.452036060034334e+02,    -1.556143025263921e+01,   1.563796977338182e+02,    1.556149950225578e+01,    1.452036060034334e+02,    -2.261233506376116e+01,   -3.055089266054500e+01,   -1.742833558900428e+01,   5.303205935778912e+01
5.000000000000000e+08,    -6.621837941947810e+00,   0.000000000000000e+00,    8.981372684365814e+00,    1.451029993025147e+02,    -1.547274430709311e+01,   1.562513913495747e+02,    1.560321062631362e+01,    1.451029993025147e+02,    -2.258702788946278e+01,   -3.016344192356759e+01,   -1.753205472657018e+01,   4.777114595703923e+01
5.000000000000000e+08,    -6.106847112147136e+00,   0.000000000000000e+00,    9.483349451891536e+00,    1.452896405659427e+02,    -1.550778441828879e+01,   1.565518347421290e+02,    1.559019656403867e+01,    1.452896405659427e+02,    -2.253105753186562e+01,   -3.059280237183443e+01,   -1.740006922452582e+01,   5.313507209126520e+01
5.000000000000000e+08,    -5.622167649883828e+00,   0.000000000000000e+00,    9.967947940267910e+00,    1.450778081545929e+02,    -1.552680331931388e+01,   1.564405346079102e+02,    1.559011559015174e+01,    1.450778081545929e+02,    -2.248010676271835e+01,   -2.882531950135664e+01,   -1.743537891852006e+01,   5.153015137268800e+01
5.000000000000000e+08,    -5.099672004914630e+00,   0.000000000000000e+00,    1.045810080956827e+01,    1.451218903980876e+02,    -1.558072279750051e+01,   1.564022501077458e+02,    1.555777281448290e+01,    1.451218903980876e+02,    -2.257615285226997e+01,   -3.016192658250017e+01,   -1.772628629033428e+01,   5.139523155704564e+01
5.000000000000000e+08,    -4.579857104825692e+00,   0.000000000000000e+00,    1.097695720792651e+01,    1.450268921168720e+02,    -1.556613568348717e+01,   1.562782644191610e+02,    1.555681431275220e+01,    1.450268921168720e+02,    -2.248584425991951e+01,   -2.974999266006359e+01,   -1.757444039130009e+01,   5.142511971386690e+01
5.000000000000000e+08,    -4.095373776710709e+00,   0.000000000000000e+00,    1.145349552452045e+01,    1.451938415648688e+02,    -1.558513080088731e+01,   1.564186078795830e+02,    1.554886930123116e+01,    1.451938415648688e+02,    -2.266496374055834e+01,   -3.111392665391774e+01,   -1.766155634394860e+01,   4.953458658273104e+01
