!CSV A.01.01
!Agilent Technologies,N5241A,MY52011414,A.09.80.16
!Date: Friday, February, 27, 2015 18:02:12
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",201,,,,,,,
"Num Power Points:",21,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2,
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
2.052e+009,-6.85826,98.6651,24.0111,126.946,40.1927,-88.0918,16.1816,144.963,0.308897,-0.111507,0,0
2.052e+009,-6.93322,98.4664,24.8427,127.957,41.0959,-87.2402,16.2532,144.803,0.380496,-0.271228,0,0
2.052e+009,-7.01433,98.2606,25.6891,129.587,42.0168,-85.7791,16.3277,144.634,0.455,-0.440182,0,0
2.052e+009,-7.11509,98.0625,26.5414,130.823,42.9249,-84.7867,16.3835,144.39,0.510828,-0.68413,0,0
2.052e+009,-7.22291,97.7869,27.3943,131.98,43.8338,-84.0482,16.4395,143.972,0.566792,-1.10249,0,0
2.052e+009,-7.33918,97.4006,28.2274,133.443,44.7104,-83.1386,16.483,143.419,0.61028,-1.65553,0,0
2.052e+009,-7.48965,96.9081,29.0714,135.033,45.5686,-82.293,16.4972,142.674,0.624512,-2.40047,0,0
2.052e+009,-7.68401,96.1232,29.9033,136.191,46.364,-82.1848,16.4608,141.624,0.588066,-3.44993,0,0
2.052e+009,-7.96727,94.6138,30.7654,137.493,47.1035,-82.4001,16.3381,140.107,0.46543,-4.96718,0,0
2.052e+009,-8.26214,92.2641,31.6095,139.466,47.6873,-82.1725,16.0778,138.362,0.205164,-6.71261,0,0
2.052e+009,-8.42513,89.4953,32.4528,140.744,48.1183,-82.3691,15.6656,136.887,-0.207129,-8.18693,0,0
2.052e+009,-8.4537,86.7465,33.289,141.826,48.4362,-82.5518,15.1473,135.622,-0.725409,-9.45199,0,0
