! (Pin, Pout) in dBm
! @ 7.395 GHz
-25     ,  -15.577986887835
-24.75  ,  -15.330710454522
-24.5   ,  -15.076107454559
-24.25  ,  -14.813991931757
-24     ,  -14.578644503113
-23.75  ,  -14.324954773323
-23.5   ,  -14.074839123805
-23.25  ,  -13.830640581138
-23     ,  -13.574496502361
-22.75  ,  -13.325856639542
-22.5   ,  -13.072924414749
-22.25  ,  -12.82813693925
-22     ,  -12.576794941177
-21.75  ,  -12.320218318733
-21.5   ,  -12.079115989974
-21.25  ,  -11.827829230449
-21     ,  -11.578314494537
-20.75  ,  -11.327356142689
-20.5   ,  -11.079845657331
-20.25  ,  -10.826039279861
-20     ,  -10.578991905331
-19.75  ,  -10.261756598634
-19.5   ,  -10.014167481199
-19.25  ,  -9.7674821353786
-19     ,  -9.5149891010816
-18.75  ,  -9.2647927457137
-18.5   ,  -9.0175336751025
-18.25  ,  -8.7642388438866
-18     ,  -8.509378393627
-17.75  ,  -8.2660261866237
-17.5   ,  -8.0156262882307
-17.25  ,  -7.762037554982
-17     ,  -7.5145919608792
-16.75  ,  -7.2639488867318
-16.5   ,  -7.0157760339429
-16.25  ,  -6.7681663624544
-16     ,  -6.5154281023134
-15.75  ,  -6.2671739062041
-15.5   ,  -6.0150794823969
-15.25  ,  -5.7686573356616
-15     ,  -5.5173208561257
-14.75  ,  -5.2689696903291
-14.5   ,  -5.0189012863824
-14.25  ,  -4.7687277262091
-14     ,  -4.5203443982841
-13.75  ,  -4.2701395017436
-13.5   ,  -4.0202955719736
-13.25  ,  -3.7702439450279
-13     ,  -3.522796192265
-12.75  ,  -3.2756516479309
-12.5   ,  -3.0233193741274
-12.25  ,  -2.7741851528759
-12     ,  -2.525552210338
-11.75  ,  -2.2779227364049
-11.5   ,  -2.0276738887597
-11.25  ,  -1.7794863873431
-11     ,  -1.5305421952925
-10.75  ,  -1.2795008923734
-10.5   ,  -1.0321422896929
-10.25  ,  -0.78423137957539
-10     ,  -0.53582193050044
-9.75   ,  -0.28747253585562
-9.5    ,  -0.039490237527623
-9.25   ,  0.20730565774404
-9      ,  0.45562204287611
-8.75   ,  0.7017065102708
-8.5    ,  0.95000495028858
-8.25   ,  1.1979694960053
-8      ,  1.4429873312
-7.75   ,  1.6891592992095
-7.5    ,  1.936422851817
-7.25   ,  2.1828568798314
-7      ,  2.4283248623592
-6.75   ,  2.6734398915021
-6.5    ,  2.9161129026419
-6.25   ,  3.161471451839
-6      ,  3.4061800342978
-5.75   ,  3.6486265311637
-5.5    ,  3.8887356573659
-5.25   ,  4.1306615274742
-5      ,  4.3742559639537
-4.75   ,  4.6127928448348
-4.5    ,  4.851039778643
-4.25   ,  5.0882525574464
-4      ,  5.3247496250116
-3.75   ,  5.5600609505645
-3.5    ,  5.7949406345493
-3.25   ,  6.0283355368713
-3      ,  6.2582482255986
-2.75   ,  6.4861878976858
-2.5    ,  6.7150944274152
-2.25   ,  6.9391668299648
-2      ,  7.1602136054284
-1.75   ,  7.381618255339
-1.5    ,  7.5985171334152
-1.25   ,  7.8082304774403
-1      ,  8.0173998169578
-0.75   ,  8.2203239576503
-0.5    ,  8.4213482793301
-0.25   ,  8.6152961049171
0       ,  8.8015312656403
0.25    ,  8.9805587726187
0.5     ,  9.1502414789391
0.75    ,  9.3250577746939
1       ,  9.4857403304331
1.25    ,  9.6379611994677
1.5     ,  9.7902932048117
1.75    ,  9.9330420837041
2       ,  10.07782642459
2.25    ,  10.210966309195
2.5     ,  10.345184520171
2.75    ,  10.472362975053
3       ,  10.602484954538
3.25    ,  10.72573111501
3.5     ,  10.841735609949
3.75    ,  10.966552244038
4       ,  11.080444044001
4.25    ,  11.199545755749
4.5     ,  11.30631396537
4.75    ,  11.418547102625
5       ,  11.524626175966
5.25    ,  11.671740920632
5.5     ,  11.781238491992
5.75    ,  11.897345064739
6       ,  12.018803853716
6.25    ,  12.109956988284
6.5     ,  12.194677493089
6.75    ,  12.291630206836
7       ,  12.393944539594
7.25    ,  12.492339370514
7.5     ,  12.596540651279
7.75    ,  12.701972410307
8       ,  12.806808357671
8.25    ,  12.913031533411
8.5     ,  13.025666349544
8.75    ,  13.130257550369
9       ,  13.239789458833
9.25    ,  13.343427492915
9.5     ,  13.437388222326
9.75    ,  13.545127293112
10      ,  13.645438392181
