! (Pin, Pout) in dBm
! @ 6.035 GHz
-25     ,  -11.124978713405
-24.75  ,  -10.874429052711
-24.5   ,  -10.63060348298
-24.25  ,  -10.382629485551
-24     ,  -10.130717669544
-23.75  ,  -9.8758757867127
-23.5   ,  -9.6293415141262
-23.25  ,  -9.3819111418888
-23     ,  -9.1296793273697
-22.75  ,  -8.8825878078332
-22.5   ,  -8.6311644221679
-22.25  ,  -8.383983418055
-22     ,  -8.1282029394836
-21.75  ,  -7.8820008881454
-21.5   ,  -7.6378328608042
-21.25  ,  -7.3824644293859
-21     ,  -7.131259120812
-20.75  ,  -6.8843066823866
-20.5   ,  -6.6321749435088
-20.25  ,  -6.3826041492746
-20     ,  -6.1328795597446
-19.75  ,  -5.8831515483414
-19.5   ,  -5.6350470848443
-19.25  ,  -5.3851228669605
-19     ,  -5.1355663378142
-18.75  ,  -4.8848028279517
-18.5   ,  -4.637081754041
-18.25  ,  -4.387628085149
-18     ,  -4.1376295054927
-17.75  ,  -3.8897061811969
-17.5   ,  -3.638377404692
-17.25  ,  -3.3887953221972
-17     ,  -3.1383836753942
-16.75  ,  -2.8926472123685
-16.5   ,  -2.6439226319022
-16.25  ,  -2.392124498614
-16     ,  -2.1441954805681
-15.75  ,  -1.8919788214967
-15.5   ,  -1.6447847130383
-15.25  ,  -1.396618562828
-15     ,  -1.1477865844677
-14.75  ,  -0.89951592039393
-14.5   ,  -0.6506909481958
-14.25  ,  -0.40271050735187
-14     ,  -0.15416397727257
-13.75  ,  0.096013721203839
-13.5   ,  0.34789224212989
-13.25  ,  0.59123483760373
-13     ,  0.84037711122373
-12.75  ,  1.0875909355101
-12.5   ,  1.3365271687894
-12.25  ,  1.584836119419
-12     ,  1.8333246440391
-11.75  ,  2.0797905371312
-11.5   ,  2.327261872894
-11.25  ,  2.5740900926128
-11     ,  2.8228396473851
-10.75  ,  3.0676298847846
-10.5   ,  3.3164096852272
-10.25  ,  3.5591861765262
-10     ,  3.8062981669443
-9.75   ,  4.0495430813651
-9.5    ,  4.2955273784306
-9.25   ,  4.5415493718017
-9      ,  4.78601401522
-8.75   ,  5.0296928801727
-8.5    ,  5.2713813514265
-8.25   ,  5.5162058009321
-8      ,  5.7589794107362
-7.75   ,  5.9997964345808
-7.5    ,  6.2445404660247
-7.25   ,  6.4840760664799
-7      ,  6.7246708457869
-6.75   ,  6.9638756868188
-6.5    ,  7.2012526093251
-6.25   ,  7.4406634417792
-6      ,  7.6767314310796
-5.75   ,  7.9116705082918
-5.5    ,  8.1443690574541
-5.25   ,  8.3779641693126
-5      ,  8.6092519777418
-4.75   ,  8.836364325665
-4.5    ,  9.0613279206966
-4.25   ,  9.2864179857525
-4      ,  9.5023851559384
-3.75   ,  9.7243121813811
-3.5    ,  9.9400893339756
-3.25   ,  10.151511905959
-3      ,  10.356161424014
-2.75   ,  10.55737800232
-2.5    ,  10.753653044542
-2.25   ,  10.943570059648
-2      ,  11.126494191807
-1.75   ,  11.302619986117
-1.5    ,  11.474240777399
-1.25   ,  11.634256525105
-1      ,  11.789899447078
-0.75   ,  11.93819168253
-0.5    ,  12.08367633487
-0.25   ,  12.219773521354
0       ,  12.348460603699
0.25    ,  12.468830390149
0.5     ,  12.585141227226
0.75    ,  12.703718166694
1       ,  12.811946944508
1.25    ,  12.924065838612
1.5     ,  13.028804510309
1.75    ,  13.135726536475
2       ,  13.237598475359
2.25    ,  13.339839147371
2.5     ,  13.439287004592
2.75    ,  13.531982816431
3       ,  13.626158818851
3.25    ,  13.721564967136
3.5     ,  13.820521477997
3.75    ,  13.911027423997
4       ,  14.000620858858
4.25    ,  14.092555846372
4.5     ,  14.1779761084
4.75    ,  14.267804801034
5       ,  14.353451483155
5.25    ,  14.494882967064
5.5     ,  14.58373622772
5.75    ,  14.683873070825
6       ,  14.791600536752
6.25    ,  14.865978914955
6.5     ,  14.9362621923
6.75    ,  15.008776737697
7       ,  15.092653620256
7.25    ,  15.173736719917
7.5     ,  15.259259071982
7.75    ,  15.337141036334
8       ,  15.426151923426
8.25    ,  15.510957280273
8.5     ,  15.597647124049
8.75    ,  15.684454545265
9       ,  15.764027635861
9.25    ,  15.853703143625
9.5     ,  15.934841104505
9.75    ,  16.01698968752
10      ,  16.101130472202
