! (Pin, Pout) in dBm
! @ 5.185 GHz
-25     ,  -10.624370012077
-24.75  ,  -10.374507017856
-24.5   ,  -10.127366048344
-24.25  ,  -9.867464419488
-24     ,  -9.6203695475126
-23.75  ,  -9.3758204368776
-23.5   ,  -9.1268597209428
-23.25  ,  -8.8734279151857
-23     ,  -8.6266468010976
-22.75  ,  -8.3730873027586
-22.5   ,  -8.1238683628752
-22.25  ,  -7.8771921361558
-22     ,  -7.6217607965417
-21.75  ,  -7.3752511745143
-21.5   ,  -7.1236952688489
-21.25  ,  -6.8743800679751
-21     ,  -6.626249899522
-20.75  ,  -6.3751689979385
-20.5   ,  -6.1258025552726
-20.25  ,  -5.8767008790678
-20     ,  -5.6239985319331
-19.75  ,  -5.3790009583086
-19.5   ,  -5.131230901844
-19.25  ,  -4.8836034463526
-19     ,  -4.6288283959626
-18.75  ,  -4.3832404615479
-18.5   ,  -4.1294325563132
-18.25  ,  -3.8816448820239
-18     ,  -3.6333593507234
-17.75  ,  -3.3839781611494
-17.5   ,  -3.1337338647783
-17.25  ,  -2.8836220700902
-17     ,  -2.6359145039957
-16.75  ,  -2.3836094921177
-16.5   ,  -2.1378202251179
-16.25  ,  -1.8857806798021
-16     ,  -1.6371666470678
-15.75  ,  -1.389115738681
-15.5   ,  -1.1383321229609
-15.25  ,  -0.88995783508839
-15     ,  -0.64174200129412
-14.75  ,  -0.39037398639162
-14.5   ,  -0.14304401385645
-14.25  ,  0.10517561117977
-14     ,  0.35384167356258
-13.75  ,  0.6029736275834
-13.5   ,  0.85263156827021
-13.25  ,  1.1010922681418
-13     ,  1.3485925557591
-12.75  ,  1.597529565953
-12.5   ,  1.8459160014654
-12.25  ,  2.0942551137079
-12     ,  2.3434212143828
-11.75  ,  2.5903689538184
-11.5   ,  2.837080590215
-11.25  ,  3.0849585786918
-11     ,  3.3332348498718
-10.75  ,  3.5808266389778
-10.5   ,  3.8276273058206
-10.25  ,  4.0745295219838
-10     ,  4.3209185055876
-9.75   ,  4.5674267494618
-9.5    ,  4.8142067411022
-9.25   ,  5.0599592472072
-9      ,  5.3065334025026
-8.75   ,  5.5515598591889
-8.5    ,  5.7970721233717
-8.25   ,  6.0414414679533
-8      ,  6.286753905673
-7.75   ,  6.5306026869877
-7.5    ,  6.7741955266125
-7.25   ,  7.0189657001416
-7      ,  7.2605180511111
-6.75   ,  7.5038419802536
-6.5    ,  7.7448105584209
-6.25   ,  7.985389918967
-6      ,  8.225918762138
-5.75   ,  8.4658727438541
-5.5    ,  8.7045028127785
-5.25   ,  8.9408567825605
-5      ,  9.1779030138333
-4.75   ,  9.4141310313658
-4.5    ,  9.6472962098299
-4.25   ,  9.8805344802536
-4      ,  10.108516456141
-3.75   ,  10.338918843782
-3.5    ,  10.564973002084
-3.25   ,  10.789360032087
-3      ,  11.010136090535
-2.75   ,  11.226808077146
-2.5    ,  11.439070973366
-2.25   ,  11.649896691136
-2      ,  11.852847909629
-1.75   ,  12.050071530942
-1.5    ,  12.24176400086
-1.25   ,  12.425392499481
-1      ,  12.600182705329
-0.75   ,  12.77130035162
-0.5    ,  12.936076962728
-0.25   ,  13.094336486777
0       ,  13.238498711487
0.25    ,  13.376893223937
0.5     ,  13.506117516558
0.75    ,  13.635750193852
1       ,  13.758268566226
1.25    ,  13.878538959808
1.5     ,  13.990380188632
1.75    ,  14.099712385693
2       ,  14.207720802409
2.25    ,  14.310807378868
2.5     ,  14.415028466743
2.75    ,  14.514281188454
3       ,  14.604646972339
3.25    ,  14.703339131238
3.5     ,  14.792207994465
3.75    ,  14.882207094549
4       ,  14.972015461094
4.25    ,  15.060714202989
4.5     ,  15.14310570932
4.75    ,  15.230287505599
5       ,  15.31375874525
5.25    ,  15.447381707069
5.5     ,  15.529053584008
5.75    ,  15.623282165336
6       ,  15.719067214727
6.25    ,  15.783708943873
6.5     ,  15.847115504217
6.75    ,  15.912020748177
7       ,  15.984594775676
7.25    ,  16.056097827349
7.5     ,  16.129979893484
7.75    ,  16.201558135022
8       ,  16.277418500291
8.25    ,  16.348877318018
8.5     ,  16.422681027877
8.75    ,  16.493112689635
9       ,  16.56943541187
9.25    ,  16.637705321532
9.5     ,  16.71280724638
9.75    ,  16.780749267376
10      ,  16.852872808124
