! (Pin, Pout) in dBm
! @ 4.335 GHz
-25     ,  -10.198533042727
-24.75  ,  -9.9449684964535
-24.5   ,  -9.699271494615
-24.25  ,  -9.4449871271546
-24     ,  -9.1942626385666
-23.75  ,  -8.9475540526417
-23.5   ,  -8.6947357812703
-23.25  ,  -8.443544824717
-23     ,  -8.1965128169251
-22.75  ,  -7.9486519667338
-22.5   ,  -7.6980293078551
-22.25  ,  -7.4465347038179
-22     ,  -7.1954096377538
-21.75  ,  -6.9456491275804
-21.5   ,  -6.6956565401938
-21.25  ,  -6.4450542489372
-21     ,  -6.1958977372097
-20.75  ,  -5.9470220604045
-20.5   ,  -5.6988312182344
-20.25  ,  -5.4488666539786
-20     ,  -5.1968159808355
-19.75  ,  -4.9475009930799
-19.5   ,  -4.6952874962839
-19.25  ,  -4.4480602166762
-19     ,  -4.1971862012661
-18.75  ,  -3.9466208028036
-18.5   ,  -3.6959723195699
-18.25  ,  -3.4509856627182
-18     ,  -3.1972467521338
-17.75  ,  -2.9461925398271
-17.5   ,  -2.7020731191931
-17.25  ,  -2.4503251816853
-17     ,  -2.1994519326369
-16.75  ,  -1.9499890377628
-16.5   ,  -1.7016650943717
-16.25  ,  -1.4528593317573
-16     ,  -1.202648991891
-15.75  ,  -0.9513320797201
-15.5   ,  -0.70312639787866
-15.25  ,  -0.45221390474013
-15     ,  -0.20314783753596
-14.75  ,  0.044824066476171
-14.5   ,  0.29442013168206
-14.25  ,  0.54269367743324
-14     ,  0.79289431065476
-13.75  ,  1.0426350903194
-13.5   ,  1.2917289331545
-13.25  ,  1.5403748057758
-13     ,  1.7873392323673
-12.75  ,  2.0379229078848
-12.5   ,  2.2862871946132
-12.25  ,  2.5359039127005
-12     ,  2.7854100347726
-11.75  ,  3.0344545213962
-11.5   ,  3.2822668471569
-11.25  ,  3.5292466705425
-11     ,  3.7785058781113
-10.75  ,  4.0263686288765
-10.5   ,  4.2755448174006
-10.25  ,  4.5231527102731
-10     ,  4.7710169727534
-9.75   ,  5.0195307848365
-9.5    ,  5.2658044384272
-9.25   ,  5.5129990169638
-9      ,  5.7618949532723
-8.75   ,  6.0078362997252
-8.5    ,  6.2547554959669
-8.25   ,  6.5020170804002
-8      ,  6.748868616222
-7.75   ,  6.9957435922966
-7.5    ,  7.2410449288019
-7.25   ,  7.4867286626456
-7      ,  7.7316072989553
-6.75   ,  7.9784794571673
-6.5    ,  8.2245268906841
-6.25   ,  8.4683814939145
-6      ,  8.7125077686352
-5.75   ,  8.9565641187448
-5.5    ,  9.201032928278
-5.25   ,  9.4435122556019
-5      ,  9.6852399416247
-4.75   ,  9.9269656286935
-4.5    ,  10.169191123365
-4.25   ,  10.40968344137
-4      ,  10.648283136535
-3.75   ,  10.887955166346
-3.5    ,  11.124816969879
-3.25   ,  11.361266133852
-3      ,  11.5967190827
-2.75   ,  11.829824563079
-2.5    ,  12.06091945903
-2.25   ,  12.291274107719
-2      ,  12.518368855668
-1.75   ,  12.74096691409
-1.5    ,  12.96304662231
-1.25   ,  13.178465184617
-1      ,  13.388722954863
-0.75   ,  13.594142006588
-0.5    ,  13.793973569745
-0.25   ,  13.988073490509
0       ,  14.172040790545
0.25    ,  14.342051015784
0.5     ,  14.504880064523
0.75    ,  14.659613655567
1       ,  14.811838506583
1.25    ,  14.947538045741
1.5     ,  15.082913125985
1.75    ,  15.206423466833
2       ,  15.326421851421
2.25    ,  15.438227958328
2.5     ,  15.555141264502
2.75    ,  15.658359198164
3       ,  15.759296084889
3.25    ,  15.855345781311
3.5     ,  15.95059547258
3.75    ,  16.043497512339
4       ,  16.129672593685
4.25    ,  16.213574300995
4.5     ,  16.294353208717
4.75    ,  16.375688619659
5       ,  16.455173116059
5.25    ,  16.587503850122
5.5     ,  16.659649888976
5.75    ,  16.744817316812
6       ,  16.839975362873
6.25    ,  16.8880074701
6.5     ,  16.935571815165
6.75    ,  16.989775111854
7       ,  17.053945458964
7.25    ,  17.111237024089
7.5     ,  17.167460498219
7.75    ,  17.224934007076
8       ,  17.288363863313
8.25    ,  17.303026593126
8.5     ,  17.326107999938
8.75    ,  17.342982578552
9       ,  17.365096605494
9.25    ,  17.412284601299
9.5     ,  17.46781812912
9.75    ,  17.5256398755
10      ,  17.582043911672
