! (Pin, Pout) in dBm
! @ 1.275 GHz
-25     ,  -9.7715529145038
-24.75  ,  -9.5217834657136
-24.5   ,  -9.2711757590117
-24.25  ,  -9.0212132467325
-24     ,  -8.7733797519263
-23.75  ,  -8.526741993406
-23.5   ,  -8.2657615910199
-23.25  ,  -8.0223996284243
-23     ,  -7.7725638563431
-22.75  ,  -7.5226655491037
-22.5   ,  -7.2657119051568
-22.25  ,  -7.0205975461574
-22     ,  -6.7706900136196
-21.75  ,  -6.5161885596312
-21.5   ,  -6.2667480157029
-21.25  ,  -6.0234592883641
-21     ,  -5.7701052817424
-20.75  ,  -5.5221859916811
-20.5   ,  -5.2723376059186
-20.25  ,  -5.0252556022168
-20     ,  -4.7718004194299
-19.75  ,  -4.5223475574011
-19.5   ,  -4.2728028777371
-19.25  ,  -4.0236618424458
-19     ,  -3.7694272207472
-18.75  ,  -3.5201852037401
-18.5   ,  -3.2716203579984
-18.25  ,  -3.0211562061431
-18     ,  -2.7701114452138
-17.75  ,  -2.5237431636206
-17.5   ,  -2.2734984695605
-17.25  ,  -2.0230049971276
-17     ,  -1.7732252494736
-16.75  ,  -1.5218415208484
-16.5   ,  -1.2751442926366
-16.25  ,  -1.0204473652934
-16     ,  -0.77134672576758
-15.75  ,  -0.52144316416795
-15.5   ,  -0.27245532273551
-15.25  ,  -0.026047365676607
-15     ,  0.2256818225721
-14.75  ,  0.47535540492304
-14.5   ,  0.72595855608778
-14.25  ,  0.97217115178317
-14     ,  1.2262314290742
-13.75  ,  1.4741256014835
-13.5   ,  1.7260539243777
-13.25  ,  1.9731447644337
-13     ,  2.2251417962221
-12.75  ,  2.4720655548454
-12.5   ,  2.7222943974083
-12.25  ,  2.9743051517449
-12     ,  3.2209814153692
-11.75  ,  3.4727364681217
-11.5   ,  3.723877947168
-11.25  ,  3.9732277772864
-11     ,  4.2215741203268
-10.75  ,  4.4702381834048
-10.5   ,  4.7209861733585
-10.25  ,  4.9699718025765
-10     ,  5.2209584166405
-9.75   ,  5.4696224197201
-9.5    ,  5.7186313447075
-9.25   ,  5.9668788257594
-9      ,  6.2181478010013
-8.75   ,  6.467938868882
-8.5    ,  6.7165663489554
-8.25   ,  6.9661954007171
-8      ,  7.2165211059142
-7.75   ,  7.4651335325184
-7.5    ,  7.7129493026901
-7.25   ,  7.9651004517205
-7      ,  8.2116901928617
-6.75   ,  8.4625099929296
-6.5    ,  8.7114578570025
-6.25   ,  8.9603039594496
-6      ,  9.2099061280729
-5.75   ,  9.4587050877291
-5.5    ,  9.7065384016283
-5.25   ,  9.9567590514051
-5      ,  10.206312123238
-4.75   ,  10.454103608731
-4.5    ,  10.703684564896
-4.25   ,  10.952615589286
-4      ,  11.200113493555
-3.75   ,  11.448848214572
-3.5    ,  11.696181657916
-3.25   ,  11.94669241913
-3      ,  12.195181174082
-2.75   ,  12.442496561843
-2.5    ,  12.690034044234
-2.25   ,  12.937383610986
-2      ,  13.18591147207
-1.75   ,  13.433144813057
-1.5    ,  13.679322715123
-1.25   ,  13.927402170143
-1      ,  14.173462037205
-0.75   ,  14.419656437416
-0.5    ,  14.665168492601
-0.25   ,  14.91146297549
0       ,  15.155810873121
0.25    ,  15.400971232851
0.5     ,  15.645893304659
0.75    ,  15.888885099541
1       ,  16.131979910418
1.25    ,  16.373045524357
1.5     ,  16.613376784105
1.75    ,  16.85340449958
2       ,  17.089899793202
2.25    ,  17.327730680517
2.5     ,  17.560706605093
2.75    ,  17.787709874761
3       ,  18.01211473408
3.25    ,  18.227641157863
3.5     ,  18.432366150691
3.75    ,  18.62331848531
4       ,  18.803732402146
4.25    ,  18.966542285583
4.5     ,  19.109692815578
4.75    ,  19.243384684596
5       ,  19.363118379488
5.25    ,  19.504353834736
5.5     ,  19.565981993417
5.75    ,  19.645321328524
6       ,  19.714299299202
6.25    ,  19.778090879976
6.5     ,  19.831202922507
6.75    ,  19.880119950836
7       ,  19.93484871799
7.25    ,  19.991117622827
7.5     ,  20.03729328723
7.75    ,  20.083954051668
8       ,  20.142581852225
8.25    ,  20.179867197167
8.5     ,  20.228499973712
8.75    ,  20.269173660125
9       ,  20.319854734697
9.25    ,  20.36018087087
9.5     ,  20.403114301253
9.75    ,  20.445608441712
10      ,  20.498973989107
