! (Pin, Pout) in dBm
! @ 4.760 GHz
-25     ,  -10.438600837426
-24.75  ,  -10.18040030384
-24.5   ,  -9.9387726836209
-24.25  ,  -9.6957120534008
-24     ,  -9.4357467003462
-23.75  ,  -9.1795181263081
-23.5   ,  -8.9329267110371
-23.25  ,  -8.684656124044
-23     ,  -8.4355155519578
-22.75  ,  -8.1842481107265
-22.5   ,  -7.9365936126496
-22.25  ,  -7.6874740020501
-22     ,  -7.4350936675728
-21.75  ,  -7.1883204506394
-21.5   ,  -6.938221489142
-21.25  ,  -6.6900339268978
-21     ,  -6.4372813618325
-20.75  ,  -6.1859341221562
-20.5   ,  -5.9394246717156
-20.25  ,  -5.6905632479412
-20     ,  -5.4383329895398
-19.75  ,  -5.1861620397822
-19.5   ,  -4.935617063677
-19.25  ,  -4.6892815252463
-19     ,  -4.4384816204004
-18.75  ,  -4.1906153015289
-18.5   ,  -3.9376334029495
-18.25  ,  -3.6911992519447
-18     ,  -3.4416912410176
-17.75  ,  -3.1899731233178
-17.5   ,  -2.9431011047721
-17.25  ,  -2.6909004528462
-17     ,  -2.441589921805
-16.75  ,  -2.1919511500761
-16.5   ,  -1.9488244852075
-16.25  ,  -1.6920336363936
-16     ,  -1.4430739625782
-15.75  ,  -1.1955684443674
-15.5   ,  -0.94749178014988
-15.25  ,  -0.69838846571449
-15     ,  -0.44826564015286
-14.75  ,  -0.20076112548075
-14.5   ,  0.049051079379613
-14.25  ,  0.29995907906029
-14     ,  0.54817741573935
-13.75  ,  0.79831591846094
-13.5   ,  1.0470196787491
-13.25  ,  1.2961991243338
-13     ,  1.5444433033674
-12.75  ,  1.79308461775
-12.5   ,  2.0413382845657
-12.25  ,  2.2889251551496
-12     ,  2.5388603124216
-11.75  ,  2.786857404909
-11.5   ,  3.0347298505375
-11.25  ,  3.283437507717
-11     ,  3.529118570439
-10.75  ,  3.7799380392611
-10.5   ,  4.0267851845975
-10.25  ,  4.2729281217567
-10     ,  4.5227159232961
-9.75   ,  4.767903988033
-9.5    ,  5.0150260152611
-9.25   ,  5.2606694770847
-9      ,  5.5092932159576
-8.75   ,  5.755018056435
-8.5    ,  6.0015489834563
-8.25   ,  6.2474425822562
-8      ,  6.4936172517751
-7.75   ,  6.7398081714887
-7.5    ,  6.9845830537714
-7.25   ,  7.2299704826988
-7      ,  7.4719757668265
-6.75   ,  7.717119425891
-6.5    ,  7.9602791716338
-6.25   ,  8.2040928537107
-6      ,  8.4463493941739
-5.75   ,  8.6891019351777
-5.5    ,  8.9304670965509
-5.25   ,  9.1705961893287
-5      ,  9.4114502096734
-4.75   ,  9.6510764290411
-4.5    ,  9.8885251155388
-4.25   ,  10.125527459053
-4      ,  10.360815388584
-3.75   ,  10.596485111258
-3.5    ,  10.831455546301
-3.25   ,  11.062795314235
-3      ,  11.292223930971
-2.75   ,  11.52103047609
-2.5    ,  11.745253199624
-2.25   ,  11.966763095699
-2      ,  12.185712760368
-1.75   ,  12.396870784535
-1.5    ,  12.606008035132
-1.25   ,  12.807209905473
-1      ,  13.004220191417
-0.75   ,  13.193855354226
-0.5    ,  13.37566176837
-0.25   ,  13.551679631361
0       ,  13.714415163167
0.25    ,  13.874782263563
0.5     ,  14.017790053077
0.75    ,  14.160531068622
1       ,  14.296685625873
1.25    ,  14.420988154617
1.5     ,  14.548696245602
1.75    ,  14.664292594774
2       ,  14.778552361702
2.25    ,  14.887563044003
2.5     ,  14.994497085705
2.75    ,  15.092107005733
3       ,  15.182712173761
3.25    ,  15.278810857858
3.5     ,  15.372988434857
3.75    ,  15.463093101925
4       ,  15.55321554136
4.25    ,  15.627924659807
4.5     ,  15.711003869385
4.75    ,  15.789621589696
5       ,  15.869759532982
5.25    ,  15.993294131051
5.5     ,  16.067940852819
5.75    ,  16.155860215797
6       ,  16.24429522524
6.25    ,  16.294754428999
6.5     ,  16.349410080652
6.75    ,  16.400658194108
7       ,  16.461362398698
7.25    ,  16.517300177083
7.5     ,  16.579690750503
7.75    ,  16.634793703102
8       ,  16.698474348349
8.25    ,  16.745784281548
8.5     ,  16.805815649506
8.75    ,  16.857896983808
9       ,  16.913944536627
9.25    ,  16.966159847158
9.5     ,  17.022055569055
9.75    ,  17.066146064231
10      ,  17.120007004744
