! (Pin, Pout) in dBm
! @ 850.008 MHz
-25     ,  -9.6710797870761
-24.75  ,  -9.4235261106247
-24.5   ,  -9.1782321796139
-24.25  ,  -8.9184434711018
-24     ,  -8.6711136425109
-23.75  ,  -8.4209096541775
-23.5   ,  -8.1696918127275
-23.25  ,  -7.9267231691242
-23     ,  -7.6746049376402
-22.75  ,  -7.41971695691
-22.5   ,  -7.1730254051002
-22.25  ,  -6.924928047673
-22     ,  -6.6727179840133
-21.75  ,  -6.4242961243863
-21.5   ,  -6.1743268426754
-21.25  ,  -5.9230963530428
-21     ,  -5.675944883732
-20.75  ,  -5.424408242551
-20.5   ,  -5.1769965533645
-20.25  ,  -4.9208679450505
-20     ,  -4.6744706299954
-19.75  ,  -4.425162121081
-19.5   ,  -4.1730826564877
-19.25  ,  -3.927306163538
-19     ,  -3.6757883649595
-18.75  ,  -3.4231668563696
-18.5   ,  -3.1739793981744
-18.25  ,  -2.9284736147767
-18     ,  -2.675107074712
-17.75  ,  -2.4267143622957
-17.5   ,  -2.1756134226041
-17.25  ,  -1.9243289360314
-17     ,  -1.6797176775496
-16.75  ,  -1.4260959839838
-16.5   ,  -1.1771685366027
-16.25  ,  -0.92740943049428
-16     ,  -0.67527915212158
-15.75  ,  -0.42139920152354
-15.5   ,  -0.17539958569556
-15.25  ,  0.071834517254565
-15     ,  0.32250241877936
-14.75  ,  0.57399008335461
-14.5   ,  0.82463064900301
-14.25  ,  1.0726786483391
-14     ,  1.3241372019927
-13.75  ,  1.572506260349
-13.5   ,  1.8216301893026
-13.25  ,  2.0728838514736
-13     ,  2.3208093988402
-12.75  ,  2.5710966708056
-12.5   ,  2.8216664843162
-12.25  ,  3.0713216575315
-12     ,  3.3211972449437
-11.75  ,  3.5688257791832
-11.5   ,  3.8197833943674
-11.25  ,  4.0704494901121
-11     ,  4.3198873496776
-10.75  ,  4.5710819880381
-10.5   ,  4.8205022821429
-10.25  ,  5.0703870246622
-10     ,  5.3178173368187
-9.75   ,  5.5659921806254
-9.5    ,  5.815695568653
-9.25   ,  6.0660225436916
-9      ,  6.3173016199167
-8.75   ,  6.5677604785926
-8.5    ,  6.8157401770179
-8.25   ,  7.0671094676088
-8      ,  7.3146267942761
-7.75   ,  7.5642381736636
-7.5    ,  7.8136302997866
-7.25   ,  8.0632361336497
-7      ,  8.3132037634492
-6.75   ,  8.5618217056825
-6.5    ,  8.8111585301166
-6.25   ,  9.0614128830127
-6      ,  9.3106166397063
-5.75   ,  9.5584003847806
-5.5    ,  9.8078067397791
-5.25   ,  10.05694898476
-5      ,  10.306133503646
-4.75   ,  10.554256255567
-4.5    ,  10.803865222934
-4.25   ,  11.052571973003
-4      ,  11.301382000924
-3.75   ,  11.550215204161
-3.5    ,  11.797436042733
-3.25   ,  12.047522613717
-3      ,  12.296945099196
-2.75   ,  12.542957489973
-2.5    ,  12.792970166938
-2.25   ,  13.039703257435
-2      ,  13.286998484419
-1.75   ,  13.534871492503
-1.5    ,  13.78247416477
-1.25   ,  14.029214670928
-1      ,  14.276787947795
-0.75   ,  14.522704839877
-0.5    ,  14.768395295429
-0.25   ,  15.015551886927
0       ,  15.262075900954
0.25    ,  15.506962424941
0.5     ,  15.750477538606
0.75    ,  15.994500055591
1       ,  16.238504957276
1.25    ,  16.480029898564
1.5     ,  16.722396558834
1.75    ,  16.963638967789
2       ,  17.200688670805
2.25    ,  17.437386641145
2.5     ,  17.671418565629
2.75    ,  17.897495736221
3       ,  18.119411503438
3.25    ,  18.326067805363
3.5     ,  18.527196461656
3.75    ,  18.709931120307
4       ,  18.8793788153
4.25    ,  19.02736839409
4.5     ,  19.163997857924
4.75    ,  19.288637239837
5       ,  19.400142847444
5.25    ,  19.548671355726
5.5     ,  19.634920799481
5.75    ,  19.73895570801
6       ,  19.837188696744
6.25    ,  19.868007265219
6.5     ,  19.877918393166
6.75    ,  19.883949979769
7       ,  19.899881753859
7.25    ,  19.940428349851
7.5     ,  19.986052414841
7.75    ,  20.015926897628
8       ,  20.072256942793
8.25    ,  20.11297323595
8.5     ,  20.160201130967
8.75    ,  20.181225255716
9       ,  20.215034105747
9.25    ,  20.252644829768
9.5     ,  20.282602801352
9.75    ,  20.30994041687
10      ,  20.348086746558
