! (Pin, Pout) in dBm
! @ 8.075 GHz
-25     ,  -17.441247305049
-24.75  ,  -17.198538185868
-24.5   ,  -16.948566360998
-24.25  ,  -16.69579801709
-24     ,  -16.446013180325
-23.75  ,  -16.196012179744
-23.5   ,  -15.951656911873
-23.25  ,  -15.698469194031
-23     ,  -15.447659693175
-22.75  ,  -15.203205767776
-22.5   ,  -14.949678716057
-22.25  ,  -14.702186812383
-22     ,  -14.445911830182
-21.75  ,  -14.19649621364
-21.5   ,  -13.944051488353
-21.25  ,  -13.698771681933
-21     ,  -13.451329040581
-20.75  ,  -13.203692692707
-20.5   ,  -12.952604862899
-20.25  ,  -12.702538367403
-20     ,  -12.451871096047
-19.75  ,  -12.185525129205
-19.5   ,  -11.937978411077
-19.25  ,  -11.689681298349
-19     ,  -11.439397801989
-18.75  ,  -11.18742271841
-18.5   ,  -10.939886729225
-18.25  ,  -10.689094188773
-18     ,  -10.441977647373
-17.75  ,  -10.193045412438
-17.5   ,  -9.9415758349665
-17.25  ,  -9.6914472766721
-17     ,  -9.4398603305985
-16.75  ,  -9.1940278945742
-16.5   ,  -8.9421693350167
-16.25  ,  -8.6901699958658
-16     ,  -8.4410054616013
-15.75  ,  -8.1912553361539
-15.5   ,  -7.9435113665321
-15.25  ,  -7.6892748069865
-15     ,  -7.4389005289556
-14.75  ,  -7.1938900613599
-14.5   ,  -6.9418181884158
-14.25  ,  -6.6920498708936
-14     ,  -6.4447808955089
-13.75  ,  -6.1942692060691
-13.5   ,  -5.9441593139666
-13.25  ,  -5.6944942517782
-13     ,  -5.4449309975806
-12.75  ,  -5.1929136002294
-12.5   ,  -4.9445133982877
-12.25  ,  -4.6905117315761
-12     ,  -4.4439691026389
-11.75  ,  -4.1968464844327
-11.5   ,  -3.947305082002
-11.25  ,  -3.6976570323917
-11     ,  -3.4490991841815
-10.75  ,  -3.1986029869845
-10.5   ,  -2.9487125224649
-10.25  ,  -2.6994843007113
-10     ,  -2.4506664426146
-9.75   ,  -2.2029161250843
-9.5    ,  -1.9528270248183
-9.25   ,  -1.7065827955344
-9      ,  -1.4565324816406
-8.75   ,  -1.2076308962491
-8.5    ,  -0.96150806558231
-8.25   ,  -0.71272127025159
-8      ,  -0.46443936086274
-7.75   ,  -0.21540958047143
-7.5    ,  0.032135590690324
-7.25   ,  0.27913276513966
-7      ,  0.52594206446432
-6.75   ,  0.77325822608938
-6.5    ,  1.0196065423547
-6.25   ,  1.2653678779193
-6      ,  1.5129345013424
-5.75   ,  1.7580510629546
-5.5    ,  2.0049782036445
-5.25   ,  2.2485775776579
-5      ,  2.4934154751713
-4.75   ,  2.7371085330401
-4.5    ,  2.9798626684517
-4.25   ,  3.222915635303
-4      ,  3.4639272556147
-3.75   ,  3.7051878106872
-3.5    ,  3.94539823494
-3.25   ,  4.1851073470924
-3      ,  4.4242658766056
-2.75   ,  4.6607617362715
-2.5    ,  4.8987111439564
-2.25   ,  5.131923761354
-2      ,  5.3663266409897
-1.75   ,  5.5977378422156
-1.5    ,  5.8290267216606
-1.25   ,  6.0553438238745
-1      ,  6.2798847182251
-0.75   ,  6.5036128222146
-0.5    ,  6.7244547089098
-0.25   ,  6.9424538257744
0       ,  7.1561602566201
0.25    ,  7.3643094739121
0.5     ,  7.5675751242189
0.75    ,  7.7690473782512
1       ,  7.9642456051922
1.25    ,  8.1533942700177
1.5     ,  8.3394122447268
1.75    ,  8.5179864045321
2       ,  8.6932729601323
2.25    ,  8.8634639385358
2.5     ,  9.0262782346665
2.75    ,  9.1820563393746
3       ,  9.3346410099411
3.25    ,  9.4790313773074
3.5     ,  9.6212292737482
3.75    ,  9.763480324991
4       ,  9.8993589355488
4.25    ,  10.033284584165
4.5     ,  10.163234682423
4.75    ,  10.29396301374
5       ,  10.420555509016
5.25    ,  10.595133257998
5.5     ,  10.719325134566
5.75    ,  10.847581522195
6       ,  10.984105265315
6.25    ,  11.085154597868
6.5     ,  11.192590189431
6.75    ,  11.305318925811
7       ,  11.420520995809
7.25    ,  11.535601487834
7.5     ,  11.647135431611
7.75    ,  11.767987281876
8       ,  11.883824480381
8.25    ,  12.000595489537
8.5     ,  12.121756528527
8.75    ,  12.239836832675
9       ,  12.361732006506
9.25    ,  12.479241551912
9.5     ,  12.597748512214
9.75    ,  12.715634942836
10      ,  12.839063287345
