! (Pin, Pout) in dBm
! @ 340.009 MHz
-25     ,  -9.461386332352
-24.75  ,  -9.2088857104488
-24.5   ,  -8.9598059718896
-24.25  ,  -8.7131963340544
-24     ,  -8.4557088717811
-23.75  ,  -8.20753825379
-23.5   ,  -7.9640861939469
-23.25  ,  -7.7072676051328
-23     ,  -7.4580319755846
-22.75  ,  -7.2048050047417
-22.5   ,  -6.9645731473492
-22.25  ,  -6.711360039813
-22     ,  -6.4609032355947
-21.75  ,  -6.209475348731
-21.5   ,  -5.9640696465186
-21.25  ,  -5.709174906022
-21     ,  -5.4625614976814
-20.75  ,  -5.2135889352349
-20.5   ,  -4.9614983886974
-20.25  ,  -4.7139661700463
-20     ,  -4.4616890760063
-19.75  ,  -4.2120383322335
-19.5   ,  -3.9621227026645
-19.25  ,  -3.7121310116077
-19     ,  -3.4636446507183
-18.75  ,  -3.2125914026146
-18.5   ,  -2.9601305545942
-18.25  ,  -2.7127076136812
-18     ,  -2.4628713482304
-17.75  ,  -2.2136994810685
-17.5   ,  -1.9624680824958
-17.25  ,  -1.7105093149718
-17     ,  -1.463049696201
-16.75  ,  -1.2121782240651
-16.5   ,  -0.96126419854927
-16.25  ,  -0.71363243865664
-16     ,  -0.46317644367688
-15.75  ,  -0.21330950037588
-15.5   ,  0.035852269805643
-15.25  ,  0.28529693553956
-15     ,  0.53443135073181
-14.75  ,  0.7848432076344
-14.5   ,  1.0353130642984
-14.25  ,  1.2848127586308
-14     ,  1.5365958834362
-13.75  ,  1.7833384622652
-13.5   ,  2.0338230723061
-13.25  ,  2.2829922605337
-13     ,  2.5340920896714
-12.75  ,  2.7840231345249
-12.5   ,  3.0333935116804
-12.25  ,  3.2831608257316
-12     ,  3.5336284475251
-11.75  ,  3.7829566274521
-11.5   ,  4.0334109799681
-11.25  ,  4.2812482494048
-11     ,  4.5309303028135
-10.75  ,  4.7818370336322
-10.5   ,  5.0295165339236
-10.25  ,  5.2795253498699
-10     ,  5.5304418140093
-9.75   ,  5.7790850534441
-9.5    ,  6.0298766734196
-9.25   ,  6.2804402933277
-9      ,  6.5284437852262
-8.75   ,  6.7783532709921
-8.5    ,  7.0283576357309
-8.25   ,  7.2769330066854
-8      ,  7.5281150998041
-7.75   ,  7.7765068417417
-7.5    ,  8.0253544864552
-7.25   ,  8.2759448695152
-7      ,  8.5248039952167
-6.75   ,  8.7727452233117
-6.5    ,  9.0207000068489
-6.25   ,  9.2713283857831
-6      ,  9.5210857296125
-5.75   ,  9.7700107914822
-5.5    ,  10.017528058087
-5.25   ,  10.268232078502
-5      ,  10.514665525899
-4.75   ,  10.765307043242
-4.5    ,  11.014324787793
-4.25   ,  11.262848201845
-4      ,  11.510555593793
-3.75   ,  11.759335674405
-3.5    ,  12.00680471262
-3.25   ,  12.255173588962
-3      ,  12.505047275918
-2.75   ,  12.751208159985
-2.5    ,  12.999735749091
-2.25   ,  13.246464042172
-2      ,  13.494054570664
-1.75   ,  13.740675381683
-1.5    ,  13.988183252479
-1.25   ,  14.235303301228
-1      ,  14.481148682812
-0.75   ,  14.726521497442
-0.5    ,  14.972587968071
-0.25   ,  15.216889308737
0       ,  15.46237230109
0.25    ,  15.707253368074
0.5     ,  15.948967086171
0.75    ,  16.191833313535
1       ,  16.434949565572
1.25    ,  16.675269869882
1.5     ,  16.9154646112
1.75    ,  17.152825041759
2       ,  17.388651235161
2.25    ,  17.621845640992
2.5     ,  17.85228178251
2.75    ,  18.075170354737
3       ,  18.29071575181
3.25    ,  18.493220727562
3.5     ,  18.687256306371
3.75    ,  18.85534697795
4       ,  19.018207207031
4.25    ,  19.158729885554
4.5     ,  19.284587197104
4.75    ,  19.401489775808
5       ,  19.500289674158
5.25    ,  19.631943993296
5.5     ,  19.701398196432
5.75    ,  19.796154236752
6       ,  19.88455572398
6.25    ,  19.9350758041
6.5     ,  19.967722820645
6.75    ,  20.005477395747
7       ,  20.049276653499
7.25    ,  20.084306824566
7.5     ,  20.119969236654
7.75    ,  20.146483063446
8       ,  20.195421992742
8.25    ,  20.20951602762
8.5     ,  20.249873436087
8.75    ,  20.280055007057
9       ,  20.313034633308
9.25    ,  20.326632570795
9.5     ,  20.353073876801
9.75    ,  20.383141813316
10      ,  20.418384580603
