! (Pin, Pout) in dBm
! @ 6.630 GHz
-25     ,  -12.959077571354
-24.75  ,  -12.711809623284
-24.5   ,  -12.459931457649
-24.25  ,  -12.218842641794
-24     ,  -11.959565800631
-23.75  ,  -11.716418848581
-23.5   ,  -11.466844434465
-23.25  ,  -11.217031775368
-23     ,  -10.971638895561
-22.75  ,  -10.716432999096
-22.5   ,  -10.473625298986
-22.25  ,  -10.226482809403
-22     ,  -9.9723874777097
-21.75  ,  -9.7247322628075
-21.5   ,  -9.4723839586049
-21.25  ,  -9.2215323074434
-21     ,  -8.9736742919129
-20.75  ,  -8.7267300463721
-20.5   ,  -8.4736044828343
-20.25  ,  -8.2232242905649
-20     ,  -7.9730789787156
-19.75  ,  -7.6545631119294
-19.5   ,  -7.4061761099707
-19.25  ,  -7.1579177081373
-19     ,  -6.9036482858765
-18.75  ,  -6.6553086259739
-18.5   ,  -6.4049237228282
-18.25  ,  -6.1532624785921
-18     ,  -5.9054766058423
-17.75  ,  -5.6543617312438
-17.5   ,  -5.4083345952459
-17.25  ,  -5.1594198971395
-17     ,  -4.9084939896962
-16.75  ,  -4.6569343947384
-16.5   ,  -4.4107923489744
-16.25  ,  -4.1583763105078
-16     ,  -3.9123458733807
-15.75  ,  -3.6628735247758
-15.5   ,  -3.410701862582
-15.25  ,  -3.1607923437932
-15     ,  -2.913497968757
-14.75  ,  -2.6619294274564
-14.5   ,  -2.4145830623736
-14.25  ,  -2.1686171655479
-14     ,  -1.9181987740688
-13.75  ,  -1.6688341939473
-13.5   ,  -1.4200056109398
-13.25  ,  -1.1697107743676
-13     ,  -0.92114856887117
-12.75  ,  -0.67467017402794
-12.5   ,  -0.42547598967346
-12.25  ,  -0.17687878770634
-12     ,  0.07243863621456
-11.75  ,  0.31812453728254
-11.5   ,  0.56738143431581
-11.25  ,  0.81572289667392
-11     ,  1.0616362631832
-10.75  ,  1.3095855784373
-10.5   ,  1.5574016827526
-10.25  ,  1.8047071615675
-10     ,  2.0504595081934
-9.75   ,  2.2949692440177
-9.5    ,  2.5446752825004
-9.25   ,  2.7883607097955
-9      ,  3.0350236337836
-8.75   ,  3.280169006343
-8.5    ,  3.5256113894957
-8.25   ,  3.7696440220796
-8      ,  4.0143698146199
-7.75   ,  4.2568033070791
-7.5    ,  4.4998239096155
-7.25   ,  4.7436448753475
-7      ,  4.9844746574358
-6.75   ,  5.2257888372887
-6.5    ,  5.4665429955393
-6.25   ,  5.7064748026862
-6      ,  5.9445382469589
-5.75   ,  6.1821388754538
-5.5    ,  6.4189430911433
-5.25   ,  6.6547521052611
-5      ,  6.8880613788906
-4.75   ,  7.1185233202504
-4.5    ,  7.3501647662745
-4.25   ,  7.5790158012383
-4      ,  7.8042512878006
-3.75   ,  8.0307761856807
-3.5    ,  8.2533581627489
-3.25   ,  8.4702059898747
-3      ,  8.6887038015532
-2.75   ,  8.8986451379967
-2.5    ,  9.1070357436547
-2.25   ,  9.31068829091
-2      ,  9.5096526294796
-1.75   ,  9.7006951340018
-1.5    ,  9.8895455057942
-1.25   ,  10.07022226663
-1      ,  10.243347631925
-0.75   ,  10.41029316286
-0.5    ,  10.575107849766
-0.25   ,  10.729294440508
0       ,  10.881522004651
0.25    ,  11.01732449318
0.5     ,  11.143961413963
0.75    ,  11.277580169532
1       ,  11.406263165981
1.25    ,  11.527675902627
1.5     ,  11.648233147877
1.75    ,  11.758027135437
2       ,  11.876575753062
2.25    ,  11.983820809111
2.5     ,  12.095279748716
2.75    ,  12.199649279287
3       ,  12.308814012897
3.25    ,  12.408789709343
3.5     ,  12.512832175053
3.75    ,  12.615702915897
4       ,  12.717283339039
4.25    ,  12.812425367667
4.5     ,  12.913670128202
4.75    ,  13.016403585975
5       ,  13.116359207006
5.25    ,  13.262138765455
5.5     ,  13.35917070759
5.75    ,  13.460348698718
6       ,  13.568502227698
6.25    ,  13.654134804016
6.5     ,  13.730935697465
6.75    ,  13.813686519039
7       ,  13.910999611823
7.25    ,  13.997072370321
7.5     ,  14.091786048323
7.75    ,  14.186710305855
8       ,  14.286122196391
8.25    ,  14.356369510517
8.5     ,  14.422592434833
8.75    ,  14.488179701503
9       ,  14.559638116055
9.25    ,  14.662117430017
9.5     ,  14.763927382161
9.75    ,  14.858205542395
10      ,  14.960957953207
