! (Pin, Pout) in dBm
! @ 6.120 GHz
-25     ,  -11.589419807382
-24.75  ,  -11.332997223787
-24.5   ,  -11.088312836408
-24.25  ,  -10.842436480673
-24     ,  -10.586845166243
-23.75  ,  -10.339068608583
-23.5   ,  -10.094732679283
-23.25  ,  -9.8433153860601
-23     ,  -9.5948643415305
-22.75  ,  -9.3425244804011
-22.5   ,  -9.0957950748889
-22.25  ,  -8.847087353622
-22     ,  -8.5955021916478
-21.75  ,  -8.3461543928704
-21.5   ,  -8.0956061669237
-21.25  ,  -7.8469280445591
-21     ,  -7.5972189011155
-20.75  ,  -7.3471472314749
-20.5   ,  -7.095818816841
-20.25  ,  -6.8486002817695
-20     ,  -6.6012740770856
-19.75  ,  -6.3527489110229
-19.5   ,  -6.1043280628014
-19.25  ,  -5.857889628303
-19     ,  -5.6069150625661
-18.75  ,  -5.3544253142296
-18.5   ,  -5.110075103903
-18.25  ,  -4.8585853279952
-18     ,  -4.6074854236318
-17.75  ,  -4.3603846313653
-17.5   ,  -4.1076371507879
-17.25  ,  -3.8611810868994
-17     ,  -3.6111478665406
-16.75  ,  -3.360975325945
-16.5   ,  -3.1130024192127
-16.25  ,  -2.8618668457568
-16     ,  -2.6138210456324
-15.75  ,  -2.3637350134597
-15.5   ,  -2.1154412205746
-15.25  ,  -1.8655382269554
-15     ,  -1.6169032549762
-14.75  ,  -1.3670613461658
-14.5   ,  -1.1183239000184
-14.25  ,  -0.86939154982547
-14     ,  -0.62375438431302
-13.75  ,  -0.37228618834693
-13.5   ,  -0.12376108653216
-13.25  ,  0.12320870612361
-13     ,  0.37329971637161
-12.75  ,  0.61961587960733
-12.5   ,  0.86895802937167
-12.25  ,  1.1172060563543
-12     ,  1.3651538651962
-11.75  ,  1.6133821952187
-11.5   ,  1.8592661757539
-11.25  ,  2.1066818046361
-11     ,  2.3542126441412
-10.75  ,  2.6019427235435
-10.5   ,  2.8479233199369
-10.25  ,  3.0935948207951
-10     ,  3.3395890877276
-9.75   ,  3.5849145883895
-9.5    ,  3.8307851685276
-9.25   ,  4.0759750206091
-9      ,  4.3221761938477
-8.75   ,  4.5649668994656
-8.5    ,  4.8095146855793
-8.25   ,  5.0529315689617
-8      ,  5.2962834330178
-7.75   ,  5.5392100057621
-7.5    ,  5.7811949882544
-7.25   ,  6.0227950252288
-7      ,  6.2625661117228
-6.75   ,  6.5036506307283
-6.5    ,  6.7423256183701
-6.25   ,  6.9807502616215
-6      ,  7.2174066751962
-5.75   ,  7.4537751769332
-5.5    ,  7.6879204395972
-5.25   ,  7.9205694588958
-5      ,  8.1528768343527
-4.75   ,  8.3817772202159
-4.5    ,  8.6083734892645
-4.25   ,  8.8338924001835
-4      ,  9.0568535584407
-3.75   ,  9.277064763985
-3.5    ,  9.4953502148551
-3.25   ,  9.7093183621628
-3      ,  9.9204890483673
-2.75   ,  10.125567038342
-2.5    ,  10.32606712511
-2.25   ,  10.521125929023
-2      ,  10.709930960697
-1.75   ,  10.893569336494
-1.5    ,  11.069438137987
-1.25   ,  11.233922533843
-1      ,  11.395102892406
-0.75   ,  11.549956189402
-0.5    ,  11.700476352993
-0.25   ,  11.845877320846
0       ,  11.976469539389
0.25    ,  12.101937406382
0.5     ,  12.223526795369
0.75    ,  12.341511079969
1       ,  12.459051238054
1.25    ,  12.56532005436
1.5     ,  12.674821193714
1.75    ,  12.784444819988
2       ,  12.893875248703
2.25    ,  12.991715192203
2.5     ,  13.090204360676
2.75    ,  13.18770106639
3       ,  13.285551924027
3.25    ,  13.375256304534
3.5     ,  13.469365533357
3.75    ,  13.565623050788
4       ,  13.655579406653
4.25    ,  13.744053696047
4.5     ,  13.831939189858
4.75    ,  13.919317475016
5       ,  14.007669803102
5.25    ,  14.153926518044
5.5     ,  14.245263283459
5.75    ,  14.341049546865
6       ,  14.446607649359
6.25    ,  14.520519706136
6.5     ,  14.592824551909
6.75    ,  14.667907584581
7       ,  14.751428265424
7.25    ,  14.830510973649
7.5     ,  14.910908837082
7.75    ,  14.98567159658
8       ,  15.076032879603
8.25    ,  15.158459522384
8.5     ,  15.242480591924
8.75    ,  15.330744276266
9       ,  15.412537677631
9.25    ,  15.50076150579
9.5     ,  15.579884702089
9.75    ,  15.659605845949
10      ,  15.748040840619
