! (Pin, Pout) in dBm
! @ 7.735 GHz
-25     ,  -16.490792123634
-24.75  ,  -16.237093346118
-24.5   ,  -15.991669354182
-24.25  ,  -15.738547156441
-24     ,  -15.490783634725
-23.75  ,  -15.240542849709
-23.5   ,  -14.994356186731
-23.25  ,  -14.74456678175
-23     ,  -14.492981835723
-22.75  ,  -14.242341000162
-22.5   ,  -13.994961021235
-22.25  ,  -13.743969738751
-22     ,  -13.494804056486
-21.75  ,  -13.243895453727
-21.5   ,  -12.997008517428
-21.25  ,  -12.749156901493
-21     ,  -12.499285698145
-20.75  ,  -12.244564143738
-20.5   ,  -11.991668263188
-20.25  ,  -11.746445644186
-20     ,  -11.497701492516
-19.75  ,  -11.234315989814
-19.5   ,  -10.98044000187
-19.25  ,  -10.730863692586
-19     ,  -10.486190871841
-18.75  ,  -10.23621495137
-18.5   ,  -9.9865705842936
-18.25  ,  -9.7322657011467
-18     ,  -9.4843937305151
-17.75  ,  -9.2337279060547
-17.5   ,  -8.9842805244243
-17.25  ,  -8.7386709547694
-17     ,  -8.4863801191712
-16.75  ,  -8.2354940647698
-16.5   ,  -7.9839419002404
-16.25  ,  -7.7324446047875
-16     ,  -7.4872520124959
-15.75  ,  -7.236536846813
-15.5   ,  -6.9883816764818
-15.25  ,  -6.7353294971452
-15     ,  -6.4855126025006
-14.75  ,  -6.234056094381
-14.5   ,  -5.9866169522683
-14.25  ,  -5.7368063534645
-14     ,  -5.4876955296727
-13.75  ,  -5.2364306346771
-13.5   ,  -4.9878025025621
-13.25  ,  -4.7391815333229
-13     ,  -4.4916750497761
-12.75  ,  -4.2395008401446
-12.5   ,  -3.9898636245661
-12.25  ,  -3.7425005481658
-12     ,  -3.4927517403655
-11.75  ,  -3.2430973312938
-11.5   ,  -2.9944406108373
-11.25  ,  -2.7445316664808
-11     ,  -2.4941664518668
-10.75  ,  -2.2461528351243
-10.5   ,  -1.9968546779594
-10.25  ,  -1.7477792639744
-10     ,  -1.5012764830332
-9.75   ,  -1.252406574278
-9.5    ,  -1.0033716960585
-9.25   ,  -0.75346241830667
-9      ,  -0.50527415158629
-8.75   ,  -0.2588830021007
-8.5    ,  -0.0098618514806734
-8.25   ,  0.23748982379058
-8      ,  0.48512281336345
-7.75   ,  0.7328428423018
-7.5    ,  0.97948994542248
-7.25   ,  1.2277902343479
-7      ,  1.4754344225149
-6.75   ,  1.7208541754256
-6.5    ,  1.9660052750857
-6.25   ,  2.2106202067695
-6      ,  2.4573463444003
-5.75   ,  2.702925483294
-5.5    ,  2.9468633062346
-5.25   ,  3.1907048481894
-5      ,  3.434840480888
-4.75   ,  3.6775837974017
-4.5    ,  3.9185282556128
-4.25   ,  4.1614583835788
-4      ,  4.4008899257214
-3.75   ,  4.6410526709721
-3.5    ,  4.8809690352025
-3.25   ,  5.118953086493
-3      ,  5.3548202426056
-2.75   ,  5.5894883462892
-2.5    ,  5.8259419914527
-2.25   ,  6.0568423599332
-2      ,  6.2875429271807
-1.75   ,  6.516279383004
-1.5    ,  6.7435913479672
-1.25   ,  6.9677572537077
-1      ,  7.1891549366865
-0.75   ,  7.408656453478
-0.5    ,  7.624765913436
-0.25   ,  7.8372237974392
0       ,  8.0440258141441
0.25    ,  8.2423385963405
0.5     ,  8.4371571551915
0.75    ,  8.6293559292003
1       ,  8.8162939562962
1.25    ,  8.9968041086493
1.5     ,  9.1703565049573
1.75    ,  9.3363821888544
2       ,  9.4988700010282
2.25    ,  9.6563174014159
2.5     ,  9.81021210211
2.75    ,  9.9535697634266
3       ,  10.095986097147
3.25    ,  10.232049711414
3.5     ,  10.367041314695
3.75    ,  10.499974399233
4       ,  10.628683249099
4.25    ,  10.756280415446
4.5     ,  10.87465799294
4.75    ,  10.999762747439
5       ,  11.120088473769
5.25    ,  11.277966654526
5.5     ,  11.394123677451
5.75    ,  11.515244927888
6       ,  11.653335358682
6.25    ,  11.75141262929
6.5     ,  11.852958134923
6.75    ,  11.95265907897
7       ,  12.066523416592
7.25    ,  12.170936284952
7.5     ,  12.265100096403
7.75    ,  12.375119609578
8       ,  12.48042518209
8.25    ,  12.575695602076
8.5     ,  12.667500016236
8.75    ,  12.762455249998
9       ,  12.862021561128
9.25    ,  12.97538837317
9.5     ,  13.092983431389
9.75    ,  13.207331601887
10      ,  13.327215159131
